ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000010808	101112975	TEAD4	TEA domain transcription factor 4	1.2657650184679	0.000660607842851399
ENSOARG00000010889				1.22709836634848	0.0206689157814596
ENSOARG00000010971	554326	TGFBR1	transforming growth factor beta receptor 1	1.05805354545131	0.0111601417467177
ENSOARG00000011033	101112135	HAVCR2	hepatitis A virus cellular receptor 2	1.16054604308376	0.0152210689377344
ENSOARG00000011043		ZC3HAV1	zinc finger CCCH-type containing, antiviral 1	1.23709277927733	0.00849967241459663
ENSOARG00000011167	101106100	CMTR2	cap methyltransferase 2	1.64249443939849	0.0033397636429593
ENSOARG00000011169	101104916		CCAAT/enhancer binding protein (C/EBP), delta	1.13918634605427	0.0041892978807961
ENSOARG00000011235	101122497		salt inducible kinase 1	1.39009359629346	0.0337819326883459
ENSOARG00000011371	101106632		ataxin 7	1.1566608499849	0.0114372507477704
ENSOARG00000011464	101115845	SYT17	synaptotagmin 17	-1.18569288368033	0.0187658739454001
ENSOARG00000011532	101106591	LOC105601870	transmembrane p24 trafficking protein 7	1.09562917948859	0.00251806871538832
ENSOARG00000011574	101106090	RAD51C	RAD51 paralog C	-1.32663387889238	0.00890000296674011
ENSOARG00000011662		IQSEC3	IQ motif and Sec7 domain 3	-1.4339099247008	0.0157980094278257
ENSOARG00000011725	101106345	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E	-1.23610607019056	0.00976479277626703
ENSOARG00000011893	101115458	APC2	APC2, WNT signaling pathway regulator	-1.1717942896645	0.0180156934762907
ENSOARG00000011950	101111986		kinesin family member 16B	-1.02181411289942	0.0199011006335636
ENSOARG00000012111	101108724	PHF6	PHD finger protein 6	1.05883199637327	0.027465631416244
ENSOARG00000012145	101114336	WAS	Wiskott-Aldrich syndrome	-1.0292841088272	0.033410987035281
ENSOARG00000012185	101115084	RCSD1	RCSD domain containing 1	-1.41684904278476	0.00588908556921676
ENSOARG00000012299	101110740	TLE1	transducin-like enhancer protein 1	1.1803520031981	0.00410733237296301
ENSOARG00000012303	101110820	LOC101110820	ubiquitin carboxyl-terminal hydrolase 28-like	-1.77302894297288	0.012693319608913
ENSOARG00000012600		ZBTB43	zinc finger and BTB domain containing 43	1.10025906833966	0.0239205049741735
ENSOARG00000012641	101112832		CMRF35-like molecule 8	-1.0080936774586	0.0412875034761934
ENSOARG00000012721	101110084	TRPM4	transient receptor potential cation channel subfamily M member 4	-1.31820534340927	0.0021611320763117
ENSOARG00000012798	101105684	TMEM41B	transmembrane protein 41B	1.14152873757242	0.0130437077935049
ENSOARG00000012805	101102701	CEMIP2	cell migration inducing hyaluronidase 2	1.39827717896013	0.000410681998508812
ENSOARG00000012946	101120714	IPMK	inositol polyphosphate multikinase	1.42679520969883	0.0140302254748739
ENSOARG00000012967	100820738	AKIRIN2	akirin 2	0.849665307953131	0.0339633979539242
ENSOARG00000013043	101106445	TTYH2	tweety family member 2	-1.1351886123443	0.00772725231914692
ENSOARG00000013067				1.34916958483711	0.0478759060180429
ENSOARG00000013157	443331	TIMP1	TIMP metallopeptidase inhibitor 1	0.877667539465131	0.0252162184332717
ENSOARG00000013159	101103308	IL1R2	interleukin 1 receptor type 2	1.30635476761938	0.0110486728262844
ENSOARG00000013203	101117042	HIP1	huntingtin interacting protein 1	-0.988886283395034	0.0442177782206
ENSOARG00000013208	101112131	DENND2A	DENN domain containing 2A	-1.00904371358395	0.00595125941631293
ENSOARG00000013211	101109511	KANK1	KN motif and ankyrin repeat domains 1	-1.04951083285896	0.00258299564995018
ENSOARG00000013252	101113913	CUL4B	cullin 4B	1.27917953059496	0.0061368026071837
ENSOARG00000013428		ZNF555	zinc finger protein 555	-1.35617947346413	0.00561849274085834
ENSOARG00000013452	101107510	MITD1	microtubule interacting and trafficking domain containing 1	0.981368949543354	0.0420910827118107
ENSOARG00000013475		CECR2	CECR2, histone acetyl-lysine reader	-1.9407339617697	0.00747583016779847
ENSOARG00000013672	101117476	GLDC	glycine decarboxylase	-0.986000840564181	0.0159130380658098
ENSOARG00000013745	101109049	FADS1	fatty acid desaturase 1	1.29825299559941	0.0315525179002193
ENSOARG00000013767	101119518	IGSF9B	immunoglobulin superfamily member 9B	-0.929319566284407	0.0292713222953075
ENSOARG00000013856	101107908	LOC101107908	BOLA class I histocompatibility antigen, alpha chain BL3-7-like	0.981552252471846	0.0332625197717111
ENSOARG00000013903	100307049	STAT1	signal transducer and activator of transcription 1	1.21528082367675	0.00593222193512728
ENSOARG00000013970	101117176	RAB11FIP4	RAB11 family interacting protein 4	-1.28614899191475	0.0132019090643388
ENSOARG00000014119	101107973	RARA	retinoic acid receptor alpha	-0.951465410892369	0.0184527239604727
ENSOARG00000014137	101119985	MAT2B	methionine adenosyltransferase 2B	1.74935182472842	0.00153016711784237
ENSOARG00000014195	101118760	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	1.66070292151527	0.00364050412163187
ENSOARG00000014248		LAYN	layilin	2.00780696075922	0.0431962793444299
ENSOARG00000014535	101119083	TRAM2	translocation associated membrane protein 2	-1.04603789172417	0.0242331176273119
ENSOARG00000014591	101103677	AZI2	5-azacytidine induced 2	0.966252900395493	0.0230787308852381
ENSOARG00000014598	101110563	SOX2	SRY-box 2	-1.71885056301813	0.000299223370053637
ENSOARG00000014627	101119227	SNX16	sorting nexin 16	1.03151624815383	0.034990608769922
ENSOARG00000014678	101111774	C9orf72	chromosome 2 open reading frame, human C9orf72	1.18990646518656	0.000511628359278494
ENSOARG00000014752		TOPORS	TOP1 binding arginine/serine rich protein	0.943387020691568	0.0116725689562202
ENSOARG00000014802	101103763	ARHGEF3	Rho guanine nucleotide exchange factor 3	2.04025017114966	0.017350019445008
ENSOARG00000014988	101110887	AHNAK	AHNAK nucleoprotein	-0.935393520337798	0.0318508882125927
ENSOARG00000015016	101111667	CMTM8	CKLF-like MARVEL transmembrane domain-containing protein 8	-1.09064715589289	0.0258605739493678
ENSOARG00000015126	101119334	JADE1	jade family PHD finger 1	-1.52619596577481	0.00766668767337194
ENSOARG00000015468	101120768	EPB41L1	erythrocyte membrane protein band 4.1 like 1	-1.12738654223517	0.00140368119529503
ENSOARG00000015541	101115008		SH3 domain containing ring finger 1	1.02629886479249	0.0150284712098037
ENSOARG00000015587				1.30252756503754	0.00107841610356131
ENSOARG00000015775	101109822	GPT2	glutamic--pyruvic transaminase 2	-1.61500610286802	0.000421755129388759
ENSOARG00000015786	101116726	ICAM5	intercellular adhesion molecule 5	1.50775067986787	0.00122840659025286
ENSOARG00000015821	101120886	EPHB4	EPH receptor B4	-1.21633884129472	0.001154599684567
ENSOARG00000015846	101111462		plectin	-0.93436386721415	0.0200972660583382
ENSOARG00000015904		FGFR3	fibroblast growth factor receptor 3	-1.19264392468681	0.0429276042946815
ENSOARG00000016027	101116878	USP25	ubiquitin specific peptidase 25	0.992030027559594	0.024499127592101
ENSOARG00000016037	101109762	CRAMP1	cramped chromatin regulator homolog 1	0.959926888742	0.0434796214184409
ENSOARG00000016047	101102437	TGFBR3	transforming growth factor beta receptor 3	1.0997796255034	0.0264220120765811
ENSOARG00000016432	101107357	ATG12	autophagy related 12	0.839186848853394	0.0281671556188808
ENSOARG00000016436	101116996	FAM83H	family with sequence similarity 83 member H	-0.920346395662878	0.0372084659867053
ENSOARG00000016598	101121110	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1.34702298277971	0.0479983639999607
ENSOARG00000016736	101117733	DUSP19	dual specificity phosphatase 19	1.51151550247651	0.0166062074488933
ENSOARG00000016739	100125613	ROBO1	roundabout guidance receptor 1	1.64755397822948	0.00104031939498994
ENSOARG00000016798	101113463	SAT1	spermidine/spermine N1-acetyltransferase 1	1.60449848952013	7.60986804762603e-05
ENSOARG00000017141	101108549	STRADB	STE20-related kinase adaptor beta	1.29890298237511	0.040009137506622
ENSOARG00000017155	101108927	APPBP2	amyloid beta precursor protein binding protein 2	1.13264660515479	0.00434750178229483
ENSOARG00000017159	101114433	WASHC4	WASH complex subunit 4	1.07137980445859	0.00318917500866427
ENSOARG00000017186	101116340	TENT4B	terminal nucleotidyltransferase 4B	0.975468597113182	0.0130437077935049
ENSOARG00000017227	101114693	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	-1.02811766646954	0.0238482414688296
ENSOARG00000017460	101112406	RAC3	Rac family small GTPase 3	-1.25413567053035	0.00935788430879921
ENSOARG00000017488	100144763		cyclin D1	-0.88747116763738	0.0442177782206
ENSOARG00000017583	101113875	SALL1	spalt like transcription factor 1	-1.18862601367181	0.00444954699394093
ENSOARG00000017632				-1.05365032480256	0.010998836745788
ENSOARG00000017807	101110506	ERAP1	endoplasmic reticulum aminopeptidase 1	0.904133995853161	0.0224269782082296
ENSOARG00000017808				0.873785190937176	0.043331889783168
ENSOARG00000017856	101106165	MEGF10	multiple EGF like domains 10	-1.2682964140407	0.0134315245500845
ENSOARG00000018162	101117497	PTPN12	protein tyrosine phosphatase, non-receptor type 12	1.31496223626056	9.61087066891121e-05
ENSOARG00000018306	101119180	ARHGAP17	Rho GTPase activating protein 17	1.01214372118489	0.0016420587430982
ENSOARG00000018321	443040	CTLA4	cytotoxic T-lymphocyte associated protein 4	1.27851069192352	0.0453822373023615
ENSOARG00000018463	101109434	KIF3C	kinesin family member 3C	1.02982807008005	0.0268310335103019
ENSOARG00000018623	101109444	ZNF608	zinc finger protein 608	-1.34874366779743	0.00233015968842087
ENSOARG00000018627	101114590	TSC22D3	TSC22 domain family member 3	-0.949736424664112	0.0154077505487945
ENSOARG00000018810	101110325	CEP120	centrosomal protein 120	0.927721908159443	0.0419332350769304
ENSOARG00000018887	101102652	ANKFY1	ankyrin repeat and FYVE domain containing 1	0.882481761752703	0.0367625130375534
ENSOARG00000018946	101122397	STXBP3	syntaxin binding protein 3	0.999434318533178	0.0189182345413
ENSOARG00000019099	101102669	TRIM34	tripartite motif containing 34	1.14805271406176	0.0396124357173968
ENSOARG00000019141	101114090	PREB	prolactin regulatory element binding	0.922042186245435	0.0149828805015203
ENSOARG00000019396	101107779	SLC48A1	solute carrier family 48 member 1	-1.01593457996141	0.0224162048231829
ENSOARG00000019467	101112523	DRAM2	DNA damage regulated autophagy modulator 2	0.918892404769854	0.0458605461375948
ENSOARG00000019527	101109777	TMBIM1	transmembrane BAX inhibitor motif containing 1	0.863510506554995	0.00929326722072027
ENSOARG00000020020	100302357	TUBA4A	tubulin alpha 4a	1.84517514394859	0.000187653943687932
ENSOARG00000020032	101116286	LOC101116286	tubulin alpha-1D chain	2.28771106140588	0.000149628306389459
ENSOARG00000020041	101115354	VPS54	VPS54, GARP complex subunit	1.12974190769871	0.00218503591153174
ENSOARG00000020074	101120909	CPNE8	copine 8	1.40622299239651	0.0180293412012205
ENSOARG00000020077	101112356	HIST1H1T	histone H1t	1.30407745290214	0.0323941521424546
ENSOARG00000020078	101111144	EAF2	ELL associated factor 2	2.00861219358016	0.00038164928410679
ENSOARG00000020092	101111847		solute carrier family 15 member 2	2.98830771577354	7.18075465041283e-06
ENSOARG00000020138	101104540	NGF	nerve growth factor	2.41565196305325	0.00542454632127862
ENSOARG00000020220	101116528	UMPS	uridine monophosphate synthetase	1.1217840877304	0.00967637467169199
ENSOARG00000020224	101121906	COL9A2	collagen type IX alpha 2 chain	0.990113928706137	0.0298721981174875
ENSOARG00000020303		CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	-1.15328388261255	0.0353383883522212
ENSOARG00000020326	101103276	CTPS1	CTP synthase 1	-0.881196069469645	0.0477921842582438
ENSOARG00000020487	101110557	BCL6	B cell CLL/lymphoma 6	1.04619414181167	0.00827803543759367
ENSOARG00000020506	100913159	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	-1.901427428558	0.000551158332978072
ENSOARG00000020583	101104977	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	-0.954597071240047	0.0157177237600844
ENSOARG00000020602		NUDT17	nudix hydrolase 17	-0.893539180129193	0.0302273328681695
ENSOARG00000020665	101110296	ATP11B	ATPase phospholipid transporting 11B (putative)	1.22692289173915	0.00827803543759367
ENSOARG00000020711	101110015	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1.06297269508228	0.0039404015897515
ENSOARG00000020755	101110062	SNX1	sorting nexin 1	0.841580053963563	0.028377305467531
ENSOARG00000020834	554329	MCL1	MCL1, BCL2 family apoptosis regulator	0.808498666276709	0.0315549576388499
ENSOARG00000020909	101105225	KIAA1522	KIAA1522 ortholog	-1.71674816709976	0.00131372668726704
ENSOARG00000020911		SYNC	syncoilin, intermediate filament protein	-1.55402317439288	0.01783588710632
ENSOARG00000021131	101104405	MNAT1	MNAT1, CDK activating kinase assembly factor	0.952747076953745	0.0394709347041468
ENSOARG00000021144	101107792	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	1.11239122001291	0.00533308375131667
ENSOARG00000021187	101119480	SUSD6	sushi domain containing 6	1.11876655189507	0.0039404015897515
