ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.B100.vs.Ctrl.micro.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.p.value	LPS100.B100.vs.Ctrl.micro.p.value
ENSOARG00000002799	101115273	IRAK3	interleukin 1 receptor associated kinase 3	2.08145702812054	2.06462716487854	3.6761808348768e-05	4.78893927134008e-05
ENSOARG00000002831	101104144	IMPDH1	inosine monophosphate dehydrogenase 1	-1.12845462889149	-1.94387896005504	0.00139810604068914	0.000103060905436958
ENSOARG00000002848	101111304	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3	-1.77915547732462	-1.18702921300808	0.000242270341453461	0.0102972832957746
ENSOARG00000002866	101120631	RASSF4	Ras association domain family member 4	1.13108961418071	0.851893968395709	0.0245450900614635	0.0183175692614798
ENSOARG00000002871	101120873	ATL3	atlastin GTPase 3	1.55507987141405	1.89966103721668	0.00296749895519131	0.00165252922077844
ENSOARG00000002881				3.01139218527463	3.48561469256263	0.000280444900147309	0.00018497462086158
ENSOARG00000002888	101104782	SPDL1	spindle apparatus coiled-coil protein 1	1.33803586478216	1.07511612274898	0.00372367782645396	0.0196306322872948
ENSOARG00000002903	101115532		transmembrane BAX inhibitor motif containing 4	0.965525689051986	1.14211364564562	0.0384086045847932	0.00205146545211229
ENSOARG00000002923	101110289	TIPARP	TCDD inducible poly(ADP-ribose) polymerase	1.04588112037321	1.45136788282386	0.00641697034832515	0.0119072344958208
ENSOARG00000002944	101120495	IBSP	integrin binding sialoprotein	2.77425436109536	5.30456853231856	0.000180201995631001	6.94588221372378e-05
ENSOARG00000002946	101106823	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	-1.65040176222205	-1.08944871857315	0.0222970888779276	0.0267706971282574
ENSOARG00000002949	101110881	SMIM4	small integral membrane protein 4	-1.75268741226942	-2.6143627850657	0.00272232558204132	0.000351321181635136
ENSOARG00000002951	101115072	CFB	complement factor B	1.36075108461179	1.09380097597095	0.00276258035416977	0.00179167212872442
ENSOARG00000002952	101104366	ADAR	adenosine deaminase, RNA specific	1.62824886460032	1.80750915513273	0.00024060299012163	0.00776197021885677
ENSOARG00000002962	100037692	XBP1	X-box binding protein 1	1.04840793429624	1.24814603562654	0.0263541695970457	0.0124619662374127
ENSOARG00000002999	101121744	ZNF32	zinc finger protein 32	-1.30154099788347	-1.6877349435195	0.00498655004632634	0.00061193158238808
ENSOARG00000003008	101110659	SESN2	sestrin 2	1.10709361270112	2.53949669861233	0.0221148233254724	0.00492342988574625
ENSOARG00000003068	101117013	LOC101117013	caspase-1-like	1.50714523328671	2.36528337197596	0.000920779531561303	0.000120496714505189
ENSOARG00000003099	101122784	RASAL3	RAS protein activator like 3	-2.06933101733194	-1.23107561752662	0.00702323902133603	0.00839362162456869
ENSOARG00000003114	101118882	DENND3	DENN domain containing 3	1.75969660243987	3.37701565848458	0.0305366210174355	6.1570732886567e-05
ENSOARG00000003135	101115644	GFOD2	glucose-fructose oxidoreductase domain containing 2	-0.914394048862812	-1.0152208602746	0.037942229794149	0.0205169337402878
ENSOARG00000003154	101114376	ARHGAP21	Rho GTPase activating protein 21	-0.962370083822565	-1.25459634776422	0.00540394819124466	0.00632398098963071
ENSOARG00000003180	101122495	IL27	interleukin 27	5.30829635027871	7.69131193254157	2.35308360830501e-07	9.33423465819799e-06
ENSOARG00000003181	101102737	RMND1	required for meiotic nuclear division 1 homolog	-1.14466036290496	-1.65344953015218	0.0101758206334251	0.00125895722366219
ENSOARG00000003187	101102529		coronin-7	-1.25647299908027	-1.3405473239251	0.000158443101412452	0.000158413355874477
ENSOARG00000003206	101108786	CHORDC1	cysteine and histidine rich domain containing 1	0.918913951027515	1.32502643470831	0.00775824197695189	0.00219504157508496
ENSOARG00000003207		XKR8	XK related 8	1.53732655260396	3.25639459354893	0.000386560376368192	2.93341783458705e-05
ENSOARG00000003209	101113584	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	-1.17498934191207	-0.770564133070808	0.00485649771960712	0.0167554056680893
ENSOARG00000003219	101103746	PLAGL2	PLAG1 like zinc finger 2	1.1623171799442	2.7829327759583	0.00633481287559173	0.000266427395335544
ENSOARG00000003228	101111705	SLC2A6	solute carrier family 2 member 6	1.43264849991692	3.34511290729797	0.000901535508221876	5.76599810437476e-05
ENSOARG00000003243	101116929	PSMB10	proteasome subunit beta 10	1.34071893336208	1.69749211344528	0.00232355126720534	0.00151638002797682
ENSOARG00000003263	101122713	FAM129A	family with sequence similarity 129 member A	2.31676898787994	3.57264110871437	0.000127208573088253	3.44019844482883e-05
ENSOARG00000003290	101118472	RNF121	ring finger protein 121	1.35590025036012	1.37652108123598	0.00219913893644868	0.00078809381486623
ENSOARG00000003314	101122327	POLB	DNA polymerase beta	2.27095387108624	3.15073167005682	1.64659368626761e-05	5.76599810437476e-05
ENSOARG00000003341	101106828	IFI6	interferon alpha inducible protein 6	2.19827533587732	3.9709354124503	0.00176787835229882	0.000163419739135813
ENSOARG00000003352	100217409	NFIL3	nuclear factor, interleukin 3 regulated	2.10923368993356	3.40849676468988	4.18816702981001e-06	6.94588221372378e-05
ENSOARG00000003353	101113409	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-2.05326382661639	-1.34868734016514	0.0131244292408139	0.00748023556869926
ENSOARG00000003394	101112709	AHDC1	AT-hook DNA binding motif containing 1	-1.28802925096822	-0.978881649765782	0.00177397216569446	0.0446649537318532
ENSOARG00000003400	101123574	RALGAPA2	Ral GTPase activating protein catalytic alpha subunit 2	1.00366135959065	1.36664250064156	0.0205179095604082	0.00641338939843263
ENSOARG00000003424	101108572	KIAA1211	KIAA1211 ortholog	-1.45405078273364	-1.91236654189404	0.00222488055621809	0.00277195226972432
