ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100_1_hit.p.value	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.p.value
ENSOARG00000002234	443308	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	-1.21984348781962	-1.16024533629696	0.0177421947881576	0.0255704453630573
ENSOARG00000002251	100196903	IDO1	indoleamine 2,3-dioxygenase 1	-1.94586851239091	-1.86065691996005	0.0388889994671504	0.0472377744484029
ENSOARG00000002619	101104735	CLEC4D	C-type lectin domain family 4 member D	-1.48882542766336	-1.28182151003808	0.0085685262705971	0.0227629127676616
ENSOARG00000002718	100135686	CLEC4E	C-type lectin domain family 4 member E	-2.17154319993269	-2.1999118804046	0.00147549183551291	0.00119458892348346
ENSOARG00000002820	101113167	HCK	HCK proto-oncogene, Src family tyrosine kinase	-1.35626036898768	-1.38597783578215	0.0135878354127733	0.0115377088583384
ENSOARG00000002944	101120495	IBSP	integrin binding sialoprotein	-2.27650017709033	-2.30452481250762	0.00542644447975897	0.00524826855721632
ENSOARG00000002951	101115072	CFB	complement factor B	-1.18578789273357	-1.15357351845965	0.041364261178671	0.048933883021568
ENSOARG00000003148		ZBTB2	zinc finger and BTB domain containing 2	-1.24146664347751	-1.25027326225088	0.0144678298145717	0.0142154585346339
ENSOARG00000003244	101112476	CCDC136	coiled-coil domain containing 136	-1.24065369309737	-1.23938544493848	0.00536363648660857	0.00527267851516094
ENSOARG00000003426				3.46497487030975	3.47142557101182	0.00276531665118173	0.00262602371224215
ENSOARG00000003455	101119747	CDH1	cadherin 1	-2.00778697868817	-1.90060057225198	0.00276531665118173	0.0033200586169564
ENSOARG00000003467	101102279	HMOX2	heme oxygenase 2	1.13185400994829	1.12415980959488	0.00466644880850676	0.00490188699766819
ENSOARG00000003501	101117752	PDK4	pyruvate dehydrogenase kinase 4	-2.4313440887144	-2.34211965379025	0.0268381659813897	0.0317983191268339
ENSOARG00000003604	101114326	CORO1A	coronin 1A	-1.63035984965902	-1.62234138870257	0.00635926112148286	0.00683389826874801
ENSOARG00000003650	101111356	C12orf56	chromosome 3 open reading frame, human C12orf56	-2.23831288088645	-2.30181742063982	0.0298926340151425	0.0241758549747638
ENSOARG00000003676	101102807	CD320	CD320 molecule	1.48469887399533	1.4635494009022	0.0136467744206076	0.0147127394637431
ENSOARG00000003788	101106133		mucin 1, cell surface associated	-2.20547755417033	-2.02596219822842	0.00471822883916172	0.00827880707348111
ENSOARG00000003975	101101901	EVI2A	ecotropic viral integration site 2A	-2.05281549988043	-1.88693090673957	0.018234908451654	0.0301126651407023
ENSOARG00000004033	101112124	RXYLT1	ribitol xylosyltransferase 1	1.21238636456246	1.29424445066226	0.00536363648660857	0.0033200586169564
ENSOARG00000004086	101119363	BICC1	BicC family RNA binding protein 1	-1.24096861720655	-1.22671773318117	0.0298926340151425	0.0311147079607001
ENSOARG00000004198		SCIMP	SLP adaptor and CSK interacting membrane protein	-1.88135646457565	-1.8298933238501	0.0120159536455269	0.0141444342430357
ENSOARG00000004209		P2RY13	purinergic receptor P2Y13	-2.20791175178915	-2.14410283366959	0.00647465868614254	0.00827880707348111
ENSOARG00000004356	101110813	CARD11	caspase recruitment domain family member 11	-1.0855731524152	-1.12108483765711	0.0316925608849947	0.0222702215118658
ENSOARG00000004357	101113116	NEURL1	neuralized E3 ubiquitin protein ligase 1	-1.83665602990532	-1.80462650240869	0.0339628563592985	0.0362003317667377
ENSOARG00000004361	101116045	ANLN	anillin actin binding protein	-1.21394890181117	-1.24289521222538	0.0171544694054682	0.0142154585346339
ENSOARG00000004379		C1RL	complement C1r subcomponent like	-1.4118947091987	-1.35621279663611	0.0136467744206076	0.0176446674209504
ENSOARG00000004381	101121233	TMEM26	transmembrane protein 26	-1.74745774582696	-1.68909718678919	0.0209692712062202	0.0256486501117686
ENSOARG00000004403	101121742	ARID5B	AT-rich interaction domain 5B	-1.88464577034111	-1.94090769742903	0.00615955241229908	0.00524826855721632
ENSOARG00000004617	101102014	LOC101102014	hydroxycarboxylic acid receptor 2	-2.32589715838919	-2.21260002977952	0.000277014679980683	0.000282909626799846
ENSOARG00000004764	101113261	IL34	interleukin 34	-1.51570888492117	-1.50449852947831	0.0378566949818834	0.037755487181145
ENSOARG00000004783	101103843	CMKLR1	chemerin chemokine-like receptor 1	-1.83489541939268	-1.72466873161703	0.00380299987510482	0.00561733863747791
ENSOARG00000004999	101112118	CEP85	centrosomal protein 85	1.73951984511034	1.22771826396588	0.00346758142569879	0.0287092862723192
ENSOARG00000005247	105612224	KIAA0040	KIAA0040 ortholog	-1.18113806952834	-1.23098381987113	0.0492355418733768	0.0353693761890197
ENSOARG00000005263	101120777	PLEKHA7	pleckstrin homology domain containing A7	-1.63588990377867	-1.50795540373295	0.00295982240032866	0.00440915012543881
ENSOARG00000005446	101110450	NAIP	NLR family apoptosis inhibitory protein	-2.02487628563258	-1.97568276314428	0.00295982240032866	0.00338278137137898
ENSOARG00000005452	101120850		monocyte to macrophage differentiation factor	-1.16378768151611	-1.3336598140074	0.0113133157157404	0.00356281288523916
ENSOARG00000005487				-2.33442538184383	-2.27224184608769	0.00178515392352987	0.00196886898262459
ENSOARG00000005499				-1.49560723343128	-1.73513911848137	0.00346758142569879	0.00153819124901451
ENSOARG00000005579	101123594	SEMA4A	semaphorin 4A	-2.05667272164549	-2.01078658447744	0.0219517483282056	0.0251322672955315
ENSOARG00000005888	443157	PAPPA	pappalysin 1	-2.14201775981396	-2.3927283861878	0.00270494987136905	0.00119458892348346
ENSOARG00000005900	101117456	GMNN	geminin, DNA replication inhibitor	1.38183947073102	1.54092642285992	0.00536363648660857	0.00292750807043966
ENSOARG00000005944	101122596	ADGRE5	adhesion G protein-coupled receptor E5	-1.07593084309158	-1.13346469077083	0.00515795389307673	0.00300975415415513
ENSOARG00000005959	101102699	TNFSF8	TNF superfamily member 8	-1.55535529425118	-1.27012717817135	0.00542644447975897	0.0216987774193566
ENSOARG00000006030	101118854	AKNA	AT-hook transcription factor	-1.0053017175495	-0.944853162185176	0.0237921659938299	0.0423150637093272
ENSOARG00000006076	101118462	AKT3	AKT serine/threonine kinase 3	-1.15202059322481	-1.11242618939697	0.0136467744206076	0.0179365880890721
ENSOARG00000006086	101115645	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	-1.18415508586074	-1.2379936169967	0.0268214593214898	0.017930087986431
ENSOARG00000006166	101115147	MLKL	mixed lineage kinase domain like pseudokinase	-1.87835343600136	-1.87929206209791	0.0135878354127733	0.0138359346481994
ENSOARG00000006262	101119602	BCL2	BCL2, apoptosis regulator	-1.52153196251348	-1.68684908312842	0.0201771146068962	0.0108269948040009
ENSOARG00000006371	101103840	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	-1.41208012810552	-1.41499081196361	0.0268381659813897	0.0251322672955315
ENSOARG00000006421		RUNX3	runt related transcription factor 3	-1.886109973056	-1.84459507589535	0.0190775671877591	0.0216987774193566
ENSOARG00000006445	101112663	IL19	interleukin 19	-3.2570053304715	-3.3081163503601	0.000514317673622913	0.000282909626799846
ENSOARG00000006452	101120639	SLC46A2	solute carrier family 46 member 2	-1.02086030454299	-1.00114218817863	0.018234908451654	0.0216987774193566
ENSOARG00000006496				-2.42973583240083	-2.47848139823045	0.000514317673622913	0.000398458468770369
ENSOARG00000006499	101110338	FILIP1	filamin A interacting protein 1	-1.58460559241895	-1.55327902898731	0.0398340422777182	0.0423150637093272
ENSOARG00000006514	101115892	FRMD4A	FERM domain containing 4A	-1.0405485779321	-1.02993052350303	0.0336073388886787	0.035125467594645
ENSOARG00000006538	101122783	PDGFRB	platelet derived growth factor receptor beta	-1.38642868700989	-1.49212993931927	0.00551162736444164	0.00369702935968492
ENSOARG00000006627	101113690	FCMR	Fc fragment of IgM receptor	-1.62077199684799	-2.12409162725804	0.0388889994671504	0.00691038780432531
ENSOARG00000006790	101113346	SLFN11	schlafen family member 11	-2.00314601418409	-1.81496325485022	0.00957705869178515	0.0166360323409265
ENSOARG00000006975	101116693	CHST9	carbohydrate sulfotransferase 9	-1.75514575128333	-1.69557131050891	0.0135878354127733	0.0166360323409265
ENSOARG00000007065	101120002	MAP1LC3C	microtubule associated protein 1 light chain 3 gamma	-1.87551560639684	-1.77991299352206	0.027635227245113	0.035125467594645
ENSOARG00000007070	101114822	GCLC	glutamate-cysteine ligase catalytic subunit	1.59957128599418	1.5533602234373	0.0385902266696095	0.0419355621927469
ENSOARG00000007201	101122930		solute carrier family 6 member 8	1.20433300411601	1.16684572058965	0.0114437093169731	0.0145339218441126
ENSOARG00000007344	101119015	ABCA1	ATP binding cassette subfamily A member 1	-1.43965215172822	-1.36477503289941	0.0373090118757311	0.0479180967867523
ENSOARG00000007452		HSPA6	heat shock protein family A (Hsp70) member 6	2.24037184521309	2.44381136676771	0.0122976835989324	0.00788961992139648
ENSOARG00000007524	101107808	PLEKHN1	pleckstrin homology domain containing N1	-1.7796987544274	-1.75431027299907	0.00233021153888005	0.00232136115855789
ENSOARG00000007690	101103373	S1PR3	sphingosine-1-phosphate receptor 3	-1.35316993464627	-1.29159913720929	0.00641866070242368	0.00946865863969425
ENSOARG00000007786	100885762	GADD45G	growth arrest and DNA damage inducible gamma	1.64900224028304	1.76720117320346	0.024970559900157	0.0163365683443972
ENSOARG00000007944	101116005	SLAMF8	SLAM family member 8	-1.21617350992795	-1.07620959319428	0.0180589345109809	0.0479027860248757
ENSOARG00000007989	443165	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	-1.4329842076003	-1.61724018478346	0.00897487669003062	0.00419355858475037
ENSOARG00000008119	443323	FST	follistatin	-1.42220696308305	-1.58905285701931	0.00340974630096271	0.00162699259327798
ENSOARG00000008140	101104938		protein AHNAK2	-1.01797103880314	-0.90761431845462	0.00665086501333235	0.0250950173970996
ENSOARG00000008212	101119848	ITGA2	integrin subunit alpha 2	-1.49679633738605	-1.6740403960404	0.0171544694054682	0.00864336347629075
ENSOARG00000008255	101105716	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	-1.1540985583605	-1.15902665895089	0.00295982240032866	0.00273926794925715
ENSOARG00000008264	101116803	FMNL2	formin like 2	-1.07484784343971	-1.11530792272468	0.0316925608849947	0.0216987774193566
ENSOARG00000008340	101118711	TBX21	T-box 21	-3.47533035806967	-3.476149777572	0.00324224349999662	0.00300975415415513
ENSOARG00000008406	101122370	TBKBP1	TBK1 binding protein 1	-1.25292868716446	-1.42217655908077	0.0186450951257334	0.0076530296133994
ENSOARG00000008461	101113133	HABP4	hyaluronan binding protein 4	1.93289382281277	1.96318232185919	0.00173978549925542	0.00149757997017012
ENSOARG00000008561	101104932	UCP2	uncoupling protein 2	-1.48428586716845	-1.34128695943671	0.00985090184751836	0.0179365880890721
ENSOARG00000008656	101109631	FBLIM1	filamin binding LIM protein 1	-1.29207738560285	-1.40056538046894	0.0122204489135494	0.00673429785033497
ENSOARG00000008861	101120971	SLAMF6	SLAM family member 6	-2.04601954740685	-1.92150804292508	0.00346758142569879	0.00524826855721632
ENSOARG00000009130	101106739	ITGAX	integrin subunit alpha X	-1.5178392614497	-1.58372450598563	0.0192867388446563	0.0149403042081539
ENSOARG00000009194	101107997	ATP10A	ATPase phospholipid transporting 10A (putative)	-1.68522591128685	-1.67271108814347	0.0141430792568949	0.0146590766444198
ENSOARG00000009196	101105036	LOC101105036	histone H2A type 1	2.72032807816776	2.30362150218798	0.00443335431486064	0.00979707399334074
ENSOARG00000009268	101117225	FAM219A	family with sequence similarity 219 member A	1.31327497816678	1.31240347059364	0.0213475240352443	0.0216987774193566
ENSOARG00000009291	101107960	NMUR2	neuromedin U receptor 2	-1.8672314956548	-2.02284649073036	0.00342506517047206	0.00222867648129464
ENSOARG00000009370		NECTIN2	nectin cell adhesion molecule 2	-1.44854478539533	-1.39027806157343	0.00346758142569879	0.00440915012543881
ENSOARG00000009529	101106385	TGFB1I1	transforming growth factor beta 1 induced transcript 1	-1.65695413200135	-1.82728197284114	0.00962757432473814	0.00490188699766819
ENSOARG00000009570	101106926	PKN3	protein kinase N3	-1.20450415056417	-1.22365602563505	0.0136467744206076	0.012356258162988
ENSOARG00000009599	101109831	ALDH1A3	aldehyde dehydrogenase 1 family member A3	-2.08174269655536	-2.23059041813177	0.00346758142569879	0.0024781432731612
ENSOARG00000009722		TNFRSF11B	TNF receptor superfamily member 11b	-3.87611968588231	-3.943534681118	0.0432595151570467	0.0385267068441966
ENSOARG00000009845	101105948	OSMR	oncostatin M receptor	-1.21701376330305	-1.23871522462488	0.00692937612333732	0.00613240273889123
ENSOARG00000009911	101107197	PROM1	prominin 1	-1.62454604007149	-1.70089378104628	0.0327841033522832	0.0229634099236432
ENSOARG00000009981	101111550	TBC1D1	TBC1 domain family member 1	-0.867403124089368	-0.872302203908855	0.0455457491685077	0.0408985252904579
ENSOARG00000009983	101117101	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2.12661059220622	2.04368685063458	0.00985090184751836	0.0128251040089163
ENSOARG00000010012	101106676	SNX10	sorting nexin 10	-2.44574695923684	-2.22086606604366	0.00233021153888005	0.00343349638648472
ENSOARG00000010070	100192433	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	-1.98688609600826	-1.87690225800934	0.0114437093169731	0.0149403042081539
ENSOARG00000010072	101115142	ERRFI1	ERBB receptor feedback inhibitor 1	-1.26944717684936	-1.32692198614841	0.00517377723895003	0.00369702935968492
ENSOARG00000010110	443491	SLC6A4	solute carrier family 6 member 4	-2.28748033464425	-2.11178398479042	0.0255987028989992	0.0385828362133143
ENSOARG00000010373	101113940	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	-0.967613041211051	-1.01621854337652	0.0462343541032023	0.0279212079599673
ENSOARG00000010397	101116743	DLG4	discs large MAGUK scaffold protein 4	-0.998854715983353	-1.11795206188799	0.0468962483216114	0.0163365683443972
ENSOARG00000010421	101120396	SLC27A4	solute carrier family 27 member 4	1.43755314538231	1.41232356937727	0.00346758142569879	0.00373838023670924
ENSOARG00000010426	443034	SFTPC	surfactant protein C	1.66123067668722	1.84444616857012	0.0331099694037654	0.0176446674209504
ENSOARG00000010445	101113064	EBI3	Epstein-Barr virus induced 3	-1.99481143539754	-2.07621222656853	0.0154389920584737	0.012356258162988
ENSOARG00000010489	101115961	CNN2	calponin 2	-1.17262116041277	-1.18083910877474	0.00715405220030228	0.00699612786004028
ENSOARG00000010519	101107748	OLFML2B	olfactomedin like 2B	-1.9827389520061	-1.96166911571609	0.024863691172917	0.0250950173970996
ENSOARG00000010929	101108966	ROBO4	roundabout guidance receptor 4	-1.57106832606102	-1.85071103560295	0.0077979692233209	0.00273926794925715
ENSOARG00000010971	554326	TGFBR1	transforming growth factor beta receptor 1	-1.22710850516192	-1.31159005098013	0.0142615304583527	0.00864336347629075
ENSOARG00000011005	101118296	C5AR1	complement C5a receptor 1	-1.26049520510634	-1.34742592015583	0.0120355483159515	0.00701210730369852
ENSOARG00000011021	101109223	HEPACAM	hepatic and glial cell adhesion molecule	-1.77298982248541	-1.82960956686625	0.00173978549925542	0.00132769172566578
ENSOARG00000011053	101110341	HAS2	hyaluronan synthase 2	-2.58325520508114	-2.54825374962003	0.000973920985075855	0.000985507063558428
ENSOARG00000011075	443127	SELE	selectin E	-1.73404507159852	-1.61871226711402	0.0053917254494572	0.0086814779401754
ENSOARG00000011111	101106508	TGFA	transforming growth factor alpha	-1.043527123804	-1.20561512679553	0.0468962483216114	0.0139030042714613
ENSOARG00000011225	443001	ACAN	aggrecan	-1.51794700944664	-1.72269313810573	0.0213475240352443	0.0106467957846475
ENSOARG00000011239	101111126	IL7R	interleukin 7 receptor	-1.51152309085983	-1.50041817179134	0.0389173445991386	0.0385828362133143
ENSOARG00000011352	101116433	MST1R	macrophage stimulating 1 receptor	-1.40140897182767	-1.44029678118584	0.00542644447975897	0.00482411030961667
ENSOARG00000011356	101115240	GADD45A	growth arrest and DNA damage inducible alpha	1.24275942128101	1.20558183941899	0.0171544694054682	0.0210831418563996
ENSOARG00000011372		BATF2	basic leucine zipper ATF-like transcription factor 2	-1.80859062411489	-1.91370879517476	0.0120159536455269	0.00826852131964762
ENSOARG00000011702	101110113	CLIP2	CAP-Gly domain containing linker protein 2	-0.910801890694487	-1.04628988197488	0.0468277648660569	0.0108269948040009
ENSOARG00000011727	101112675	RAI14	retinoic acid induced 14	-1.1834165441364	-1.17890396805879	0.0136467744206076	0.0142154585346339
ENSOARG00000011792	101121475	ACSL5	acyl-CoA synthetase long chain family member 5	-1.220422558816	-1.21268437740426	0.0394204331153726	0.0391806585077143
ENSOARG00000011836	101108303	RAPGEF5	Rap guanine nucleotide exchange factor 5	-2.2530750222228	-2.45182565296202	0.0139045813577311	0.00853520449820044
ENSOARG00000011974	101109918	PPP1R18	protein phosphatase 1 regulatory subunit 18	-1.17584727043033	-1.17677436985636	0.00359687804295457	0.00369702935968492
ENSOARG00000012029				-1.18396492074608	-1.3025884782665	0.0217860072255987	0.0106467957846475
ENSOARG00000012126	101122474	TEAD3	TEA domain transcription factor 3	-0.97524094757399	-0.952584119785307	0.0135878354127733	0.0166360323409265
ENSOARG00000012238	101118235	RPUSD4	RNA pseudouridine synthase D4	1.13829638664494	1.1982113805179	0.0361311504796354	0.0230808751857034
ENSOARG00000012360	101122180	ELK3	ELK3, ETS transcription factor	-1.17923793109192	-1.26737151282455	0.00569708857737223	0.0033446916570246
ENSOARG00000012371	101112035	CEP78	centrosomal protein 78	1.36648555962818	1.40094127966347	0.00276531665118173	0.00232136115855789
ENSOARG00000012535	101113323	TNS3	tensin 3	-1.10616304703181	-1.1264283489835	0.0177421947881576	0.0147897142482352
ENSOARG00000012716	101121387	LOC101121387	histone H2A type 2-A	1.45311272930137	1.50220594271238	0.0177421947881576	0.0146590766444198
ENSOARG00000012756	101117364	CDH10	cadherin 10	-2.49062482252156	-2.44193511111993	0.00358037091896281	0.00419355858475037
ENSOARG00000012860	443435	IL2RA	interleukin 2 receptor subunit alpha	-2.22303017586284	-1.98779986272211	0.0120018583747189	0.0216987774193566
ENSOARG00000012866	101122148	LOC101122148	histone H2A type 2-A	1.45311272930137	1.50220594271238	0.0177421947881576	0.0146590766444198
ENSOARG00000012912	101115315	MAML3	mastermind like transcriptional coactivator 3	-1.58148856826517	-1.8187931806944	0.0148939534043041	0.00576558888074504
ENSOARG00000013067				-2.16815846653938	-2.35906958604064	0.0171653062560168	0.0106712205217863
ENSOARG00000013144	101103054	IL1R1	interleukin 1 receptor type 1	-2.18391028337393	-2.26173435400561	0.00295982240032866	0.00244581587973349
ENSOARG00000013149	101122398	HIST2H2BE	histone H2B type 2-E	1.16511394264584	1.11188763418841	0.00869227094497343	0.0136576050156344
ENSOARG00000013309	443363	IFNAR2	interferon alpha and beta receptor subunit 2	-1.28326123309914	-1.28029560858659	0.00116307551581484	0.00110461840934173
ENSOARG00000013580	100233164	CNGA3	cyclic nucleotide gated channel alpha 3	-3.20917587217625	-3.36484654232825	0.0125992335072355	0.00946865863969425
ENSOARG00000013628	101116705	IL33	interleukin 33	-1.94907658008881	-1.79898368021927	0.00276531665118173	0.00410760655426201
ENSOARG00000013767	101119518	IGSF9B	immunoglobulin superfamily member 9B	1.22649369811889	1.47835059083206	0.0085685262705971	0.00249724458049721
ENSOARG00000013827	101117771	SLC52A2	solute carrier family 52 member 2	1.17018917205852	1.02263209507875	0.00341178604457973	0.012083847615303
ENSOARG00000013850		CRB2	crumbs 2, cell polarity complex component	-1.82990652422493	-2.01511360396705	0.0435730195625332	0.0229634099236432
ENSOARG00000013878	101115672	DOP1B	DOP1 leucine zipper like protein B	1.05065484856199	1.09789568553742	0.0398340422777182	0.0262249664677224
ENSOARG00000013917	101112636	ITPRIPL1	ITPRIP like 1	-1.15401590464324	-1.14815644987853	0.0201771146068962	0.0212699902216276
ENSOARG00000013931	101123285	SH3BP1	SH3 domain binding protein 1	-1.38045067106232	-1.41531407327404	0.0120355483159515	0.00991354168593191
ENSOARG00000013951	101105944	NRIP3	nuclear receptor interacting protein 3	1.49807058452078	1.54900010908772	0.0285919579731083	0.0229634099236432
ENSOARG00000014007	101103318	JADE2	jade family PHD finger 2	-1.58456717310643	-1.53276512631616	0.0388889994671504	0.0438839090305014
ENSOARG00000014101	101111919	MCOLN3	mucolipin 3	-1.44062018663736	-1.50143982377625	0.0121141546353802	0.00921965565040632
ENSOARG00000014151	101117299		ras GTPase-activating protein 4	-1.71959967510191	-1.60844285555918	0.0022033860594658	0.00282308221607807
ENSOARG00000014347	101106288	H1FX	histone H1x	1.182873436816	1.19261321180469	0.0383946049574033	0.0345220139596305
ENSOARG00000014369	101119493	SVIL	supervillin	-1.66985967597378	-1.6186091715957	0.00158703161249026	0.00160359632245624
ENSOARG00000014413	101117112	LOC101117112	interferon alpha-inducible protein 27-like protein 1	-1.85544576601439	-1.88673016072815	0.0370724894090854	0.0320729376807708
ENSOARG00000014423	101122097	DAB2IP	DAB2 interacting protein	-1.45506806333286	-1.43852722973656	0.018234908451654	0.0197355391455327
ENSOARG00000014491	101102266	RNF34	ring finger protein 34	1.09359831497165	1.04879267114169	0.0085685262705971	0.0132806678075031
ENSOARG00000014631	101112816	JAK3	Janus kinase 3	-1.58910210110962	-1.58002969657884	0.00517377723895003	0.00524826855721632
ENSOARG00000014846				-2.4671772513102	-2.17511239709231	0.0242959762022767	0.0479027860248757
ENSOARG00000015194	497274	CRYAB	crystallin alpha B	1.13706898075662	1.04141823948834	0.00536363648660857	0.0131386450953058
ENSOARG00000015256	101114957	TNIP3	TNFAIP3 interacting protein 3	-2.20296022251773	-1.94485927720554	0.024863691172917	0.0494985538313637
ENSOARG00000015298	101103057	GRHL1	grainyhead like transcription factor 1	1.61412319768161	1.63272946628185	0.0343215741260882	0.0325304958507911
ENSOARG00000015467	101109084	DRAM1	DNA damage regulated autophagy modulator 1	-1.44505026867888	-1.53268764905969	0.0494412974394074	0.035125467594645
ENSOARG00000015621	101123098	RFTN2	raftlin family member 2	-1.56251127770616	-1.5216083389621	0.0418693031807249	0.047226167676509
ENSOARG00000015632	100294605	VCAN	versican	-1.20208480764085	-1.3579185145876	0.0272174933867999	0.0108269948040009
ENSOARG00000015718	101102917	PTPRC	protein tyrosine phosphatase, receptor type C	-1.23191719413579	-1.16185397792279	0.0152818913512428	0.0235715785096986
ENSOARG00000015731		DLG3	discs large MAGUK scaffold protein 3	-1.53435016960611	-1.62315101094444	0.0407434566043392	0.0287092862723192
ENSOARG00000015786	101116726	ICAM5	intercellular adhesion molecule 5	1.59615412043169	1.3988629601595	0.0039318916054522	0.00903826066846501
ENSOARG00000015885	101117675	TOX	thymocyte selection associated high mobility group box	-1.33073435933598	-1.18066916426911	0.0135878354127733	0.0330079947375352
ENSOARG00000015959	101121143	ZAN	zonadhesin	-2.32988221214576	-2.35901420156805	0.00551162736444164	0.00534323728310793
ENSOARG00000015971	101104452	IGSF6	immunoglobulin superfamily member 6	-2.33576647896699	-2.029973474486	0.0085685262705971	0.0203099020364466
ENSOARG00000016003	101102743	ACOD1	aconitate decarboxylase 1	-2.24416439011169	-2.12765286621903	0.00342506517047206	0.00440435907118943
ENSOARG00000016164	101111442	NT5DC3	5'-nucleotidase domain containing 3	1.57112683736187	1.48288543034857	0.0362533209292294	0.0441230909654069
ENSOARG00000016325	101121552	AK7	adenylate kinase 7	-2.08138236235877	-2.04465179874229	0.0388889994671504	0.0408985252904579
ENSOARG00000016338		HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2	1.26087699460111	1.25829066231315	0.0322075103437609	0.0314090584822633
ENSOARG00000016543	101108489	CXCL9	C-X-C motif chemokine ligand 9	-3.43040986405027	-3.54540157164096	0.0022033860594658	0.00160359632245624
ENSOARG00000016611	442997	CXCL10	C-X-C motif chemokine ligand 10	-2.05314020425569	-1.9184632258716	0.023545367894656	0.0334490125738705
ENSOARG00000016668	101108750	CXCL11	C-X-C motif chemokine ligand 11	-1.92180955803709	-1.72247894345542	0.00681534011314064	0.0140065931112743
ENSOARG00000016737	101110224	TNS2	tensin 2	-1.29142949618709	-1.42086578241251	0.00233021153888005	0.00119458892348346
ENSOARG00000016787	100422801	BST-2B	bone marrow stromal cell antigen 2B	-2.10441303480877	-2.00488255530375	0.00542644447975897	0.00783880765131112
ENSOARG00000016814	101112970	TXNRD1	thioredoxin reductase 1	1.38536046862225	1.3481774461138	0.0160441501207097	0.0184929411230351
ENSOARG00000016912	101111643	SLC16A3	solute carrier family 16 member 3	-1.46866773262153	-1.68175318226265	0.0135878354127733	0.00527267851516094
ENSOARG00000016918	101110677	F2RL2	coagulation factor II thrombin receptor like 2	-1.72037852561262	-1.8830725083179	0.00359687804295457	0.00232136115855789
ENSOARG00000017011	101119648	CYP7B1	25-hydroxycholesterol 7-alpha-hydroxylase	-1.74352966706367	-1.82195697947598	0.0405132491938206	0.0311147079607001
ENSOARG00000017025	101122158		paired immunoglobulin-like type 2 receptor alpha	-1.41681441512292	-1.34118243340119	0.00542644447975897	0.00863423015951765
