ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000008445	101104776	LOC101104776	carcinoembryonic antigen-related cell adhesion molecule 6-like	-1.22554030359705	0.0492022168144182
ENSOARG00000008598	101104588	MKS1	Meckel syndrome, type 1	-1.13551009734058	0.0158186718892574
ENSOARG00000008738	101103468	SCRN1	secernin 1	-1.13578996895551	0.0399257028466759
ENSOARG00000008907	443226	TIMELESS	timeless circadian regulator	-0.944595289693408	0.0308649980420767
ENSOARG00000008988	101122126	PLCG2	phospholipase C gamma 2	-0.965575290057225	0.037958592988357
ENSOARG00000009025				1.11267833692548	0.012611054476199
ENSOARG00000009130	101106739	ITGAX	integrin subunit alpha X	1.07710377390972	0.0468220979180647
ENSOARG00000009348				1.07733631649088	0.0184179684078701
ENSOARG00000009900				-0.987347646631165	0.0244325911739747
ENSOARG00000009992				-0.94868115111975	0.0388054042716037
ENSOARG00000010223	101115536	NFE2L3	nuclear factor, erythroid 2 like 3	1.08554463107151	0.0433842547355934
ENSOARG00000010370		SLX4IP	SLX4 interacting protein	1.05943326987208	0.0243509231103328
ENSOARG00000010671	101120987	LZTS1	leucine zipper tumor suppressor 1	-0.929974592108082	0.0414940611345813
ENSOARG00000011003				1.17365852590736	0.0246402120018767
ENSOARG00000011085	101113309	CCDC120	coiled-coil domain containing 120	1.13907164306323	0.0483758059338748
ENSOARG00000012220	101102594	GMPR	guanosine monophosphate reductase	-1.29757881788816	0.0151439664373387
ENSOARG00000012303	101110820	LOC101110820	ubiquitin carboxyl-terminal hydrolase 28-like	-1.77302894297288	0.0125982680242447
ENSOARG00000012374	101102666	TULP2	tubby like protein 2	-1.48607052819956	0.00719075826154007
ENSOARG00000012870	100217411	MAPK14	mitogen-activated protein kinase 14	-0.843253827730919	0.0440247520844803
ENSOARG00000013067				1.34916958483711	0.0468220979180647
ENSOARG00000013395				1.06388464020706	0.0344480476895493
ENSOARG00000013428		ZNF555	zinc finger protein 555	-1.35617947346413	0.00561220101923537
ENSOARG00000013745	101109049	FADS1	fatty acid desaturase 1	1.29825299559941	0.0308344073791409
ENSOARG00000013767	101119518	IGSF9B	immunoglobulin superfamily member 9B	-0.929319566284407	0.0286580563871846
ENSOARG00000013777	101115172	LOC101115172	carbonyl reductase	-1.26741080802463	0.0184077078648244
ENSOARG00000013937	101118708	CRYL1	crystallin lambda 1	-1.1909263008103	0.00968108526150129
ENSOARG00000014039	101115457	COL5A3	collagen type V alpha 3 chain	1.14310506221014	0.00606991346552272
ENSOARG00000014144	101121802	CMBL	carboxymethylenebutenolidase homolog	-0.984695880607047	0.00796069417930098
ENSOARG00000014228	101113477	RBM18	RNA binding motif protein 18	0.825778251715192	0.0488675734346471
ENSOARG00000014241	101116556	NPHP1	nephrocystin 1	-0.935315786372132	0.0459899110462615
ENSOARG00000014877	101110635	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	1.94082539732868	0.0450222416445444
ENSOARG00000015016	101111667	CMTM8	CKLF-like MARVEL transmembrane domain-containing protein 8	-1.09064715589289	0.0253584137962218
ENSOARG00000015231	101120330	GUF1	GUF1 homolog, GTPase	-1.09319609164049	0.0372788303577672
ENSOARG00000015486	101109815	AXIN2	axin 2	1.29686320195575	0.0485152376844793
ENSOARG00000015675				-1.32339836157222	0.0434531384490957
ENSOARG00000016420	101102548	LOC101102548	aldehyde oxidase 2	-1.14061633904688	0.0492007646113859
ENSOARG00000016598	101121110	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1.34702298277971	0.0469182369092008
ENSOARG00000016693	101107085	MIEF1	mitochondrial elongation factor 1	0.962013548011563	0.0420690686483592
ENSOARG00000017207	101111202	GPR18	G protein-coupled receptor 18	-1.76716333710579	0.0330377846838984
ENSOARG00000017214	101113222	NR4A1	nuclear receptor subfamily 4 group A member 1	2.35205293627571	0.0380455386313719
ENSOARG00000017335	101102536	OSBPL6	oxysterol binding protein like 6	-0.903965939460512	0.0414940611345813
ENSOARG00000017355		SMAGP	small cell adhesion glycoprotein	1.1018264909889	0.0232299862966275
ENSOARG00000017419	101114889	PROKR2	prokineticin receptor 2	2.0737710385803	0.0374708081041247
ENSOARG00000017487	101104752	PNMA1	PNMA family member 1	-1.35538036082902	0.0394780666705321
ENSOARG00000017908		ZKSCAN4	zinc finger with KRAB and SCAN domains 4	-1.18468168443147	0.032983716190889
ENSOARG00000017976	101111207	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	-0.950631657244495	0.0463430107028037
ENSOARG00000018105	101104925	TFAP2C	transcription factor AP-2 gamma	1.38147815372849	0.0388311492644792
ENSOARG00000018566	100307035	CAT	catalase	-0.948044106337879	0.0178778077392253
ENSOARG00000018836		PCDHB7	protocadherin beta 7	1.28912964712675	0.00285348877142893
ENSOARG00000019141	101114090	PREB	prolactin regulatory element binding	0.922042186245435	0.0148425688357533
ENSOARG00000019527	101109777	TMBIM1	transmembrane BAX inhibitor motif containing 1	0.863510506554995	0.00922744960920575
ENSOARG00000019890	101122361	SLC12A6	solute carrier family 12 member 6	-1.00108079635101	0.0446125082684369
ENSOARG00000019986	101105759	GPR63	G protein-coupled receptor 63	1.08265595954705	0.0322854513934334
ENSOARG00000020224	101121906	COL9A2	collagen type IX alpha 2 chain	0.990113928706137	0.0292604231714401
ENSOARG00000020411	101102868	TMEM44	transmembrane protein 44	-1.33228150121828	0.0246529552747062
ENSOARG00000020465	101106376	SVBP	small vasohibin binding protein	-0.985303408055789	0.0368019908154447
ENSOARG00000020834	554329	MCL1	MCL1, BCL2 family apoptosis regulator	0.808498666276709	0.0308395168133494
ENSOARG00000021048	101111716	SHF	Src homology 2 domain containing F	-1.07119587084951	0.0103476424737329
