ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000001499	101114037	COQ8A	coenzyme Q8A	-1.49358386020422	-1.63664906803153	0.00218937873241658	0.00120382548054857
ENSOARG00000001505	101101994	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	1.20247281858829	1.20993298087283	0.00257155950915052	0.00245852809860987
ENSOARG00000001511	100294659	STAT3	signal transducer and activator of transcription 3	0.972379318281011	0.964164519752266	0.00287348225433049	0.0033298791133072
ENSOARG00000001519	101114398	TRIM38	tripartite motif containing 38	1.60217330636377	1.43413257026531	0.00657612069142976	0.0133065674441722
ENSOARG00000001535	101120395		guanylate-binding protein 4-like	2.84116699517776	3.07164593152222	0.000713650949479956	0.000414825516169335
ENSOARG00000001570	101116682	RCN2	reticulocalbin 2	1.33349069490236	1.46648771070145	0.00425222865195818	0.00200285293390295
ENSOARG00000001611	101115186	SLC25A12	solute carrier family 25 member 12	-1.42680051582382	-1.57078092743234	0.00018964666675524	9.30350229669465e-05
ENSOARG00000001673				-1.46676057546718	-1.8279052793276	0.0197003711064094	0.00663902444565514
ENSOARG00000001688	101108998	TMEM141	transmembrane protein 141	-1.26259146865581	-1.26014351391179	0.0328109774856752	0.035441481717838
ENSOARG00000001718	101105710	MPPE1	metallophosphoesterase 1	-1.21548325988281	-1.30489909890867	0.00613957270895657	0.00341043272845476
ENSOARG00000001731	101108619	CIDEA	cell death-inducing DFFA-like effector a	-1.2090751910803	-1.24359566998216	0.0266776961883549	0.0233850450694734
ENSOARG00000001812	101110146	BATF	basic leucine zipper ATF-like transcription factor	2.01908209540081	2.21333326197409	0.00563832487509113	0.00283570563058994
ENSOARG00000001922	101105381	CYTH3	cytohesin 3	-1.8270696088567	-1.6592882459426	0.000417728598313766	0.000916193430722329
ENSOARG00000002164	101120906	PNPT1	polyribonucleotide nucleotidyltransferase 1	2.00792994431234	1.82130984675104	0.000797817440169191	0.0017700270632378
ENSOARG00000002173	101117765	PLAC8	placenta specific 8	3.29952957286919	3.18445078656622	0.00345514602271484	0.00445442762526523
ENSOARG00000002204	101106450	LPIN3	lipin 3	-1.19301516757795	-1.05272074006856	0.00222645772296009	0.00862994408384338
ENSOARG00000002211	101123244	SERPINB9	serpin B9	1.21067738623131	1.4621820098513	0.0196447770417192	0.00508553352329484
ENSOARG00000002234	443308	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	2.10716124869954	2.04756309717688	3.23709502308248e-05	4.17094790477749e-05
ENSOARG00000002278	101119098	MAGEF1	MAGE family member F1	-1.55927251973708	-1.20103706285794	0.000926953546816847	0.00797679426588924
ENSOARG00000002294	101108819	LOC101108819	cationic amino acid transporter 3-like	2.03441419549729	2.42871366876639	0.0221023090265598	0.00723280043864395
ENSOARG00000002386	100169934	CRY2	cryptochrome circadian regulator 2	-1.53806625888835	-1.18955668768314	0.0006865008131905	0.00620035872639173
ENSOARG00000002482	101103484	SASH1	SAM and SH3 domain containing 1	1.52970316117462	1.33611862010148	0.000289033734410861	0.000878940749117394
ENSOARG00000002585	101104355	MOB3C	MOB kinase activator 3C	1.54450523575574	1.50002397129158	0.0113581596067556	0.0140901542473828
ENSOARG00000002593	101115373	SPTLC2	serine palmitoyltransferase long chain base subunit 2	0.903700947895897	0.947286381216744	0.0441648170468966	0.0289900655027467
ENSOARG00000002708				1.31257522739458	1.2094037249919	0.00959867320045726	0.0187457702848016
ENSOARG00000002721	101111469	CBX2	chromobox 2	-1.53940901043304	-1.5493380294217	0.0200200515008961	0.0206817955121387
ENSOARG00000002726	101107138	PPCDC	phosphopantothenoylcysteine decarboxylase	-2.23662778438539	-1.53159629463157	0.000963805255747831	0.0107624605406635
ENSOARG00000002759				1.0669407249969	1.00220146251828	0.0142648397499854	0.0264201763818043
ENSOARG00000002776		ZNF619	zinc finger protein 619	-1.25328438309911	-1.2503433070279	0.00825516828124213	0.00883944380656974
ENSOARG00000002831	101104144	IMPDH1	inosine monophosphate dehydrogenase 1	-1.07769969680078	-1.12845462889149	0.0023960296740797	0.00141646791478886
ENSOARG00000002871	101120873	ATL3	atlastin GTPase 3	1.60226523303861	1.55507987141405	0.00239265843968819	0.00298516332270566
ENSOARG00000002888	101104782	SPDL1	spindle apparatus coiled-coil protein 1	1.38794172795594	1.33803586478216	0.00270028255448944	0.00374053970115535
ENSOARG00000002895	101102306	LRRC8E	leucine rich repeat containing 8 VRAC subunit E	-1.56013415101125	-1.47656072851035	0.00476984279649875	0.00691257029410718
ENSOARG00000002906	101118333	SSB	Sjogren syndrome antigen B	0.858802093965723	0.835448482336691	0.0238707810971756	0.0354030295042351
ENSOARG00000002944	101120495	IBSP	integrin binding sialoprotein	2.74622972567807	2.77425436109536	0.000185889512729577	0.000183236809455762
ENSOARG00000002949	101110881	SMIM4	small integral membrane protein 4	-1.25970549500432	-1.75268741226942	0.0210772103807524	0.00274879976458019
ENSOARG00000002951	101115072	CFB	complement factor B	1.39296545888571	1.36075108461179	0.00224144514600936	0.00278687123861561
ENSOARG00000002962	100037692	XBP1	X-box binding protein 1	1.2141791337016	1.04840793429624	0.00684194180656977	0.025803466568135
ENSOARG00000002999	101121744	ZNF32	zinc finger protein 32	-1.13748214390421	-1.30154099788347	0.0149563207131752	0.00497622651556355
ENSOARG00000003059	101119394	GPAT3	glycerol-3-phosphate acyltransferase 3	2.37130798609526	2.79271780764285	0.00588146316258351	0.00180839018034299
ENSOARG00000003114	101118882	DENND3	DENN domain containing 3	1.84742858072764	1.75969660243987	0.0213200977302871	0.0298874202178006
ENSOARG00000003135	101115644	GFOD2	glucose-fructose oxidoreductase domain containing 2	-0.936980659333096	-0.914394048862812	0.0272703110828246	0.0369909581020884
ENSOARG00000003139	101112594	SIK3	SIK family kinase 3	0.848675400788973	0.877128707250312	0.0153372452030332	0.0100261406778385
ENSOARG00000003154	101114376	ARHGAP21	Rho GTPase activating protein 21	-0.974060218867789	-0.962370083822565	0.00449635439656513	0.00539601403065833
ENSOARG00000003181	101102737	RMND1	required for meiotic nuclear division 1 homolog	-1.07971046701887	-1.14466036290496	0.0161131287954362	0.0100934161171259
ENSOARG00000003192	101112105		solute carrier family 33 member 1	0.953921266814934	0.997267128049044	0.00241138741455035	0.00129402029125419
ENSOARG00000003206	101108786	CHORDC1	cysteine and histidine rich domain containing 1	0.894635572192185	0.918913951027515	0.0106025393517678	0.00773808565985352
ENSOARG00000003243	101116929	PSMB10	proteasome subunit beta 10	1.26631068050836	1.34071893336208	0.00384652795722017	0.0023360135306711
ENSOARG00000003341	101106828	IFI6	interferon alpha inducible protein 6	2.22432623014357	2.19827533587732	0.00159313940676198	0.00178758471960422
ENSOARG00000003354	101111832	FNIP2	folliculin interacting protein 2	-0.926568399319307	-0.860879233890026	0.0217185281304347	0.0499876890439728
ENSOARG00000003400	101123574	RALGAPA2	Ral GTPase activating protein catalytic alpha subunit 2	0.94945579806193	1.00366135959065	0.0332678420984635	0.0202103472932396
ENSOARG00000003481	101116701	ARID4B	AT-rich interaction domain 4B	1.03749896584763	0.93322779787859	0.010926337860658	0.0338053557931538
ENSOARG00000003536	101112923	PDF	peptide deformylase, mitochondrial	-1.24317294124073	-1.00952605292769	0.00759622559868241	0.0433219692415016
ENSOARG00000003635	101107136	FBXW11	F-box and WD repeat domain containing 11	1.22954581458917	1.09614238365698	0.000983961708947157	0.00368941425011635
ENSOARG00000003636	101107165	FUNDC1	FUN14 domain containing 1	1.37960346009519	1.40455500300015	0.014733391276083	0.0134304459583334
ENSOARG00000003729	101115029	JAKMIP2	janus kinase and microtubule interacting protein 2	-1.39900841605702	-1.7935640902169	0.00290159129846144	0.000520423123808815
ENSOARG00000003788	101106133		mucin 1, cell surface associated	1.96032188196526	1.78080652602335	0.0012300952627975	0.00283064049390803
ENSOARG00000003837		TMEM151A	transmembrane protein 151A	-1.60194222341771	-1.15454559415538	0.00652626410977821	0.0490866999968249
ENSOARG00000003882	101115250	YPEL3	yippee like 3	-1.68804065300077	-1.70656726957697	0.00298523507033955	0.00283882647336458
ENSOARG00000003995		HNRNPF	heterogeneous nuclear ribonucleoprotein F	0.836079160809127	0.80383454012768	0.0242973427862986	0.0426468065223455
ENSOARG00000004007	101111679	LIPG	lipase G, endothelial type	1.71608312076366	1.88005456355951	0.0142442678185665	0.00780441576008602
ENSOARG00000004060	101122400	LOC101122400	probable 2-ketogluconate reductase	-1.7518226356872	-1.69165098875697	0.00585177348170899	0.00780441576008602
ENSOARG00000004077	101107646	BEND5	BEN domain containing 5	1.87666531334376	1.68148979104339	0.00417223839245253	0.00961951216489649
ENSOARG00000004078	101120527	STRA6	stimulated by retinoic acid 6	1.56126567501255	1.75982709302432	0.0453243933776998	0.0236175468923101
ENSOARG00000004089	101108688	CREBRF	CREB3 regulatory factor	1.08982867669578	0.978405203369627	0.0138214084859595	0.0387448098893447
ENSOARG00000004125		TSHZ3	teashirt zinc finger homeobox 3	1.05072194095622	1.06875296943139	0.0152336070453026	0.0133551038057516
ENSOARG00000004162	101107713	FAM222B	family with sequence similarity 222 member B	1.00808455437834	0.996203705308391	0.0126759800512075	0.0149024821994805
ENSOARG00000004209		P2RY13	purinergic receptor P2Y13	1.35089364014116	1.2870847220216	0.0242654050492198	0.0350468565080864
ENSOARG00000004213	101114632	MYO3A	myosin IIIA	2.10083513930922	1.98950145460277	0.00557231281089589	0.00875117544572611
ENSOARG00000004233	101111580	PML	promyelocytic leukemia	1.30930405392045	1.29773569453194	0.00682145974682157	0.00752695195952859
ENSOARG00000004281	101107472	NEFH	neurofilament heavy	-2.39328092884551	-2.16396099424802	0.0020450265546309	0.00394765051621256
ENSOARG00000004301	101108728	STK39	serine/threonine kinase 39	-1.28317734870651	-1.41970317306462	0.0338819748158623	0.0197780946212089
ENSOARG00000004328	101118274	ELOVL6	ELOVL fatty acid elongase 6	-1.2759566837803	-1.10851777757496	0.0104430967122055	0.0323654066363728
ENSOARG00000004379		C1RL	complement C1r subcomponent like	1.28168581562692	1.22600390306433	0.00502544790455176	0.00767453956495001
ENSOARG00000004403	101121742	ARID5B	AT-rich interaction domain 5B	1.24630848303114	1.30257041011907	0.0175324306855812	0.0133436199392407
ENSOARG00000004421	101109224	CDKN2C	cyclin dependent kinase inhibitor 2C	-1.30923650397578	-1.39110399567597	0.0266776961883549	0.0196044178297817
ENSOARG00000004438	101110420		ezrin	1.0986454597639	0.988908896437559	0.0178150967372471	0.0458701952301246
ENSOARG00000004481		ADO	2-aminoethanethiol dioxygenase	-1.19435967327801	-1.03062962508731	0.00209821189933461	0.0100476331913015
ENSOARG00000004488	101119330	KIAA0355	KIAA0355 ortholog	1.30448382288793	1.10200666087786	0.00135537840952205	0.00776840920645151
ENSOARG00000004562	101110470	ZADH2	zinc binding alcohol dehydrogenase domain containing 2	-0.945309560960373	-0.906180039461288	0.0200757957695727	0.033342654434709
ENSOARG00000004567	101105897	GTF2A1L	general transcription factor IIA subunit 1 like	1.2985590421214	1.39292906413978	0.0202971276276129	0.0131583656440813
ENSOARG00000004612	101120534	MSTO1	misato 1, mitochondrial distribution and morphology regulator	-1.19701484066646	-1.03056480082865	0.0010257747409114	0.00597021138787611
ENSOARG00000004617	101102014	LOC101102014	hydroxycarboxylic acid receptor 2	2.18165441597592	2.06835728736625	1.0202732884325e-05	1.73818367852664e-05
ENSOARG00000004639	101122109	KLHL8	kelch like family member 8	-1.7077706888911	-1.59593370146012	0.00709768546121622	0.0111321389113516
ENSOARG00000004675	101122924	SCN9A	sodium voltage-gated channel alpha subunit 9	2.18362523931453	2.01080119951898	0.000722773594094096	0.00156780055757994
ENSOARG00000004687	101107112	XYLT2	xylosyltransferase 2	-1.01924097288334	-0.940201489660679	0.00169307092146778	0.00522765323966535
ENSOARG00000004715				-1.32223744599453	-1.4381779972897	0.00935343992979561	0.00532226458887278
ENSOARG00000004776	101110885	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	-0.894685759381359	-0.816156139251456	0.0111126036242815	0.0383388267235203
ENSOARG00000004790	443113	MMP13	matrix metallopeptidase 13	3.21350489007195	3.21798572723244	0.0173417873029762	0.0183936259679967
ENSOARG00000004800	101116563	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1	-2.01334860599848	-1.7471622056472	0.00845419786884871	0.019595517111354
ENSOARG00000004836	101114599	CTDSP2	CTD small phosphatase 2	0.951365884794841	0.977881594582608	0.0415599583401864	0.0341363348520488
ENSOARG00000004881	101121479	TM4SF1	transmembrane 4 L six family member 1	1.02526271640634	1.07794550294769	0.00759622559868241	0.0044102815956069
ENSOARG00000004931	101112608	RAB3B	RAB3B, member RAS oncogene family	0.889046432881042	0.867273023296578	0.0301541141336791	0.0414940611345813
ENSOARG00000004957	101106003	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	1.04557078915761	1.16874479560245	0.0243995185432651	0.00941393755852304
ENSOARG00000004993	101121025	B3GALT2	beta-1,3-galactosyltransferase 2	3.39757265840239	3.41198596162312	0.00371579281582893	0.00369167071229199
ENSOARG00000004999	101112118	CEP85	centrosomal protein 85	-1.80284225117791	-1.29104067003345	0.000268605591626612	0.00368941425011635
ENSOARG00000005053	101114400	ZFYVE9	zinc finger FYVE-type containing 9	-1.17681366934121	-1.24597627345787	0.00322576695250129	0.00185413037676188
ENSOARG00000005062	101105098	ARHGAP33	Rho GTPase activating protein 33	-1.7138965015869	-1.42415049820775	0.00736776834735069	0.0207190905587167
ENSOARG00000005120	101103035	SLC25A16	solute carrier family 25 member 16	1.23091666665672	1.12828855966766	0.0076649979040716	0.0168353677021052
ENSOARG00000005176	101104680	LRFN3	leucine rich repeat and fibronectin type III domain containing 3	-1.2070917866913	-1.21255105202412	0.0173762185977629	0.0180045414215904
ENSOARG00000005189				1.56592408772089	1.76804503127386	0.024624304102209	0.0116792505053539
ENSOARG00000005210	101105433	THAP8	THAP domain containing 8	-1.46221058459052	-1.32480444278169	0.0170612078994525	0.0319169378829817
ENSOARG00000005235	101103289	GYG1	glycogenin 1	-0.996430126544534	-0.940548415180452	0.0125034420540392	0.0238319272682132
ENSOARG00000005243				1.39502313068141	1.22433225147339	0.0195566695257172	0.0464610086369729
ENSOARG00000005318	101103416	ZNF382	zinc finger protein 382	-1.28926872110388	-1.52802919593772	0.00629780039797437	0.00186056431529286
ENSOARG00000005322	101107327	SRGN	serglycin	0.860373219936262	0.863776704292032	0.043321239591002	0.0433842547355934
ENSOARG00000005336	101118864		ral guanine nucleotide dissociation stimulator	1.51233723179936	1.45005537482356	0.00510231358272823	0.00700590993268856
ENSOARG00000005462	101123646	AFMID	arylformamidase	-1.08915056045157	-1.12667912330284	0.0162961554864297	0.0131139152817387
ENSOARG00000005525	101116274	MALT1	MALT1 paracaspase	-1.92862984784106	-2.08348709001547	0.000231405070451067	0.000135991305103863
ENSOARG00000005551	101118304	OCLN	occludin	1.25894536742165	1.14590576630444	0.0120326906729223	0.0261402212864346
ENSOARG00000005557	101102861	PLSCR1	phospholipid scramblase 1	2.51787102987693	2.40182702861233	0.000718576521658371	0.00102903103714312
ENSOARG00000005571				-1.18358740941232	-0.988406086954854	0.0013213972443381	0.0104297513470046
ENSOARG00000005613	101122077	TRAF1	TNF receptor associated factor 1	1.44892733252244	1.50554829730125	0.00564180759053613	0.0044140466277611
ENSOARG00000005630	101103365	PLSCR4	phospholipid scramblase 4	1.25857344807977	1.30240935211961	0.017613071239306	0.0143743783267958
ENSOARG00000005656	101122722	PDE2A	phosphodiesterase 2A	-1.42500452390847	-1.73800196970359	0.0353427155821845	0.0144341163399728
ENSOARG00000005741	101118802	FAM117A	family with sequence similarity 117 member A	-1.72195913398025	-1.35701374078138	0.00200591468152438	0.00999300998301979
ENSOARG00000005777	101117553	CCBE1	collagen and calcium binding EGF domains 1	1.63685838550788	2.00431280011503	0.00920469664470266	0.0020954001101581
ENSOARG00000005792	554263	TLR4	toll like receptor 4	1.30363970591661	1.22936939295521	0.000669766942312462	0.00124276233264597
ENSOARG00000005817		CHST2	carbohydrate sulfotransferase 2	0.879991070793928	0.998680130434413	0.0210772103807524	0.00454478190823375
ENSOARG00000005825	101117028		enoyl-CoA hydratase domain-containing protein 2, mitochondrial	-1.27614880526637	-1.5284446968701	0.00596647501526027	0.00150690873541956
ENSOARG00000005841	101108883	AIFM2	apoptosis inducing factor, mitochondria associated 2	-1.12070666146752	-1.28586348678561	0.00942685066651176	0.00270505118117442
ENSOARG00000005897				1.60126942002482	1.40310859477881	0.0218901657469784	0.0499299282274737
ENSOARG00000005944	101122596	ADGRE5	adhesion G protein-coupled receptor E5	1.26282484687471	1.32035869455396	9.86663373905885e-05	6.6158617355195e-05
ENSOARG00000005959	101102699	TNFSF8	TNF superfamily member 8	1.95183973345963	1.6666116173798	0.00011463243120072	0.000475057623580049
ENSOARG00000005984	101103211	TMEM268	transmembrane protein 268	1.24248578166881	1.32783201354925	0.0153695796473947	0.00960528399917309
ENSOARG00000005994	101105204	TRPC1	transient receptor potential cation channel subfamily C member 1	1.16164132697582	1.10907057456208	0.00928230957966021	0.0148125299196611
ENSOARG00000005996	101118341	LDLRAP1	low density lipoprotein receptor adaptor protein 1	-1.19932618649352	-1.23787628700546	0.0159335077396921	0.0132552850488334
ENSOARG00000006009		WHRN	whirlin	1.05982874755972	1.13310346858419	0.00614006959804093	0.00296098052245319
ENSOARG00000006055	101108178	SORBS1	sorbin and SH3 domain containing 1	-1.44130958739878	-1.57935869001861	0.0153372452030332	0.00932751724126691
ENSOARG00000006106	101106564	CIITA	class II major histocompatibility complex transactivator	1.56747769205652	1.6941389261361	0.0286758385789353	0.0181559673840147
ENSOARG00000006124	101118405	RNF138	ring finger protein 138	1.38854692214556	1.28359078536338	0.00285080760288234	0.00575509238924182
ENSOARG00000006125				1.56011151321382	1.54677733787027	0.0226081692534469	0.0250499289985871
ENSOARG00000006130				1.56974421746557	1.38696358356591	0.00805205602005067	0.0185032827975755
ENSOARG00000006136	101109280	MTO1	mitochondrial tRNA translation optimization 1	1.03212745393524	0.959846646274463	0.0124895413590719	0.0269997699792155
ENSOARG00000006166	101115147	MLKL	mixed lineage kinase domain like pseudokinase	2.09939318707607	2.10033181317262	0.000917410919209596	0.000946380591018571
ENSOARG00000006187	101118118	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	0.979201208618582	0.915176491766149	0.00277770150369027	0.00726711084576656
ENSOARG00000006215	101108672		TNF receptor superfamily member 18	1.96651786394354	2.16726964054818	0.00119865094479123	0.000567459469247432
ENSOARG00000006218		IBA57	IBA57, iron-sulfur cluster assembly	-1.0508390077853	-0.96779037259976	0.0214202870930005	0.0460960200741133
ENSOARG00000006239	101115098	TMEM50A	transmembrane protein 50A	1.01323728209606	0.965851130777306	0.0186185211160974	0.0311220965208859
ENSOARG00000006262	101119602	BCL2	BCL2, apoptosis regulator	1.21722945229678	1.38254657291172	0.0158154452478848	0.00587239020553397
ENSOARG00000006271	101106393	ALAD	aminolevulinate dehydratase	-1.11524042455117	-1.10565654157186	0.0112055563878697	0.0128151826446208
ENSOARG00000006315	101113739	SETX	senataxin	1.70752605672879	1.71001777232511	1.68455053423579e-05	1.75220693540376e-05
ENSOARG00000006491	101119930	BIRC2	baculoviral IAP repeat containing 2	1.21194083961348	1.16475787625895	0.00935343992979561	0.0134533985377412
ENSOARG00000006496				3.38656520284635	3.43531076867597	3.70116757877786e-06	3.46251975746631e-06
ENSOARG00000006501				1.28852990918719	1.06867655993605	0.00854900787089463	0.0388972441736976
ENSOARG00000006543	101111252	PTBP3	polypyrimidine tract binding protein 3	0.955339658196354	0.924238397315813	0.0163358795906346	0.0245196369015986
ENSOARG00000006560	101105669	PCDH17	protocadherin 17	1.55705799161489	1.31725796896607	0.00995825164125582	0.03006858944559
ENSOARG00000006627	101113690	FCMR	Fc fragment of IgM receptor	2.3717908787274	2.87511050913745	0.000610785148096409	0.00012713885568507
ENSOARG00000006706		SNX21	sorting nexin family member 21	-1.00044183234536	-0.926518958293874	0.0198367717304074	0.0434347539672608
ENSOARG00000006724	101118048	PSMA1	proteasome subunit alpha 1	0.899815505606947	0.936048439094406	0.0346897136558096	0.0238740120293689
ENSOARG00000006775		MEI4	meiotic double-stranded break formation protein 4	3.15590203775575	3.03857987999643	0.000382740418516899	0.000520201719762076
ENSOARG00000006791	101108632	TANK	TRAF family member associated NFKB activator	0.992532655476075	0.936219052005651	0.00282528181497259	0.00642077342439645
ENSOARG00000006807	101116740	RAB20	RAB20, member RAS oncogene family	1.38833688506383	1.50001252555144	0.0235890971598583	0.0153966259516548
ENSOARG00000006823	101122608	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	1.28431791489878	1.15116146671354	0.000660832195143295	0.00218187925930736
ENSOARG00000006870	101109149	RBMS1	RNA binding motif single stranded interacting protein 1	1.1877079064613	1.10989685374543	0.00137647907868919	0.00304042096206434
ENSOARG00000006889	101105044	LOC101105044	plasminogen activator inhibitor 2	2.53176475893	2.71259214123821	0.00935343992979561	0.00597279873815353
ENSOARG00000006901	101116649	THSD7A	thrombospondin type 1 domain containing 7A	1.15989060113015	1.2215165574488	0.0147041607331827	0.00959644996782245
ENSOARG00000006975	101116693	CHST9	carbohydrate sulfotransferase 9	2.03003232235198	1.97045788157756	0.000640116788402033	0.000874615280230304
ENSOARG00000006984				0.82047506863797	0.795292594637482	0.0178854019260233	0.0297193947680693
ENSOARG00000007001	101118549	TERF2IP	TERF2 interacting protein	1.4777791494548	1.41163885185334	0.00778734903863475	0.010794265994698
