ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000002311	101110712	SERPINB1	serpin family B member 1	1.26061240784823	1.26637868578802	1.31526218450153	0.00529555396790273	0.0050803129846123	0.00368941425011635
ENSOARG00000002322	101109048	TFEB	transcription factor EB	-2.12989657730285	-2.11373678599909	-2.18138235018984	0.000359259424913225	0.000390102421355399	0.000317524712961643
ENSOARG00000002352	101106797	SUDS3	SDS3 homolog, SIN3A corepressor complex component	1.10529855731275	1.09831820082803	0.985793548524378	0.0157835245589153	0.0173166572611895	0.044744817871275
ENSOARG00000002366		RXRA	retinoid X receptor alpha	-1.84016324318241	-2.01327675712868	-1.74242766961965	6.76836832401641e-05	4.04060506903561e-05	0.000107772319801581
ENSOARG00000002372				4.29921767881373	2.43136305689455	4.1829111573408	0.000582352881611288	0.0222625672222388	0.000682832167333434
ENSOARG00000002432		SIGLEC15	sialic acid binding Ig like lectin 15	-1.26556667850375	-1.37092971812522	-1.10354140649359	0.0152336070453026	0.00821856421868333	0.0421598451820512
ENSOARG00000002477	101106367	NEIL1	nei like DNA glycosylase 1	-1.33199158362942	-1.308930001538	-1.32667031452641	0.0126210346564293	0.0139508493819331	0.0137243199106165
ENSOARG00000002479	101109983	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5	2.24738734710075	2.04823432409771	2.42829335187227	0.00357627841437769	0.00675568230182223	0.00209418653392017
ENSOARG00000002524	101108505	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	1.4714315491749	1.05499881627737	1.38335772466288	5.11335695432497e-05	0.00158610441132566	8.27390421604699e-05
ENSOARG00000002545	101122082	EPB41	erythrocyte membrane protein band 4.1	-1.1408042531962	-1.02323196921251	-1.10682887452908	0.0130888787595451	0.0350080167131503	0.0177848426203602
ENSOARG00000002546	101118515	LOC101118515	leukocyte-associated immunoglobulin-like receptor 1	-1.55747610691029	-1.65971120740997	-1.52319231253799	0.000729218715465342	0.000441148925277203	0.000863575836814794
ENSOARG00000002562	101103369	IL6R	interleukin 6 receptor	-1.48495471405698	-1.08603042148391	-1.69546642789876	0.00422881182630034	0.043244939678034	0.00170364859401108
ENSOARG00000002569				3.06213493077953	1.95579563390357	3.09503591824493	4.21933545471504e-06	0.000120864744230814	4.17095441844194e-06
ENSOARG00000002578	101122114	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	1.33901726371476	1.22861825621304	1.30939712886973	0.000185889512729577	0.000474627742256878	0.0002432870183639
ENSOARG00000002599	101112115	LOC101112115	protocadherin-11 X-linked	2.69225658157745	2.39516412427882	2.73240042866257	4.61248092646039e-05	0.000120864744230814	4.25485336629486e-05
ENSOARG00000002605				-1.42219723894864	-1.97320347286547	-1.90233310793345	0.0190251257358088	0.00246341175499645	0.0033229748250646
ENSOARG00000002640	101114035	NLRP1	NLR family pyrin domain containing 1	-2.87766560327381	-4.27978905971325	-3.2637996371607	0.000466569979203725	5.7311070840057e-05	0.000232179609848732
ENSOARG00000002644	101105773		leukocyte receptor cluster member 9	-1.28633591751532	-1.2119288578821	-1.13068266045515	0.0148882233989169	0.0227729226692207	0.0384819104907999
ENSOARG00000002653				-1.54536313258008	-1.61286637594766	-1.58173997135791	0.00727796232724479	0.00535919427142148	0.00651737275741782
ENSOARG00000002658	101106884	C15orf39	chromosome 18 open reading frame, human C15orf39	-2.10658918878104	-2.34764448858968	-2.09018036096288	0.0018296584962601	0.000863744519465718	0.00200714748296878
ENSOARG00000002672	101109570	USP49	ubiquitin specific peptidase 49	1.17747233999513	1.16028868962913	1.05445750354043	0.0162014572909361	0.0188894099585877	0.0423129480790241
ENSOARG00000002682		NTN1	netrin 1	1.38933500302049	1.00202787754713	1.4583295759628	0.00286193615780038	0.0472440206499201	0.00200851072065004
ENSOARG00000002688	101121569	ANK1	ankyrin 1	-1.0300231879272	-1.31651776843436	-1.15377508309156	0.0363058780784617	0.0047735992431523	0.0150596475117811
ENSOARG00000002720	101110137	VAV2	vav guanine nucleotide exchange factor 2	-1.04300925479756	-1.29789257762344	-1.21774074015025	0.0126934166422275	0.00143003981297212	0.00280978343760571
ENSOARG00000002725				2.38088262927798	1.4387546815087	2.55254183595117	0.000815788478604947	0.031066645326694	0.000513501930421921
ENSOARG00000002737	101105481		guanylate-binding protein 1-like	3.57929119022619	2.14351650771098	3.50457480002255	0.000359259424913225	0.0119948494948326	0.000416451565925394
ENSOARG00000002754	100034672	PTX3	pentraxin 3	5.44997073216878	5.47746222458487	5.46627766991999	9.10065610727863e-06	1.10715861446599e-05	8.71820549505548e-06
ENSOARG00000002783	101112914	MDM4	MDM4, p53 regulator	1.88627549754082	1.48643547011757	1.79887362982741	0.000710873336860856	0.00477875095865	0.00109502332508051
ENSOARG00000002796				1.64039915222836	0.978117812247581	1.52171677312385	0.000550190753023271	0.0481327678039907	0.00103024341244073
ENSOARG00000002799	101115273	IRAK3	interleukin 1 receptor associated kinase 3	2.01456574066424	1.43016967563696	2.08145702812054	4.66791885055435e-05	0.000850883322730692	3.72751815378951e-05
ENSOARG00000002820	101113167	HCK	HCK proto-oncogene, Src family tyrosine kinase	-1.39236510473855	-2.74862547372624	-1.36264763794409	0.00120004503102316	8.75994383063982e-06	0.00150690873541956
ENSOARG00000002839				3.91176603007012	2.96857643025855	3.95060531841528	4.99387718752949e-05	0.000440470234083756	4.71718801091717e-05
ENSOARG00000002848	101111304	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3	-1.89186916932289	-1.98612584639773	-1.77915547732462	0.000140856673437068	0.000105856590515941	0.000246209246097604
ENSOARG00000002866	101120631	RASSF4	Ras association domain family member 4	1.28014286097599	1.39344860062086	1.13108961418071	0.00870420900428207	0.00426414674154198	0.0240857726384497
ENSOARG00000002881				3.16101157953355	1.96677451286618	3.01139218527463	0.000190538284213383	0.00564178670266639	0.000283717793259009
ENSOARG00000002916				-1.68073007858947	-2.4953994438599	-1.66105335816252	0.0163904941414478	0.00166754035675087	0.0192440520712886
ENSOARG00000002923	101110289	TIPARP	TCDD inducible poly(ADP-ribose) polymerase	1.13948625459809	1.01880020570479	1.04588112037321	0.00239393659467056	0.00832995334373497	0.00642625220634003
ENSOARG00000002946	101106823	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	-1.46741173982628	-1.41618113897546	-1.65040176222205	0.0353667348811837	0.042845536755136	0.0218793269159917
ENSOARG00000002952	101104366	ADAR	adenosine deaminase, RNA specific	1.60216964083445	1.20364133020148	1.62824886460032	0.000275336823185354	0.00342935482091991	0.000244448016932892
ENSOARG00000003008	101110659	SESN2	sestrin 2	1.25799647890998	1.24454000490699	1.10709361270112	0.00709734461276988	0.00773245019664913	0.0217213924429667
ENSOARG00000003068	101117013	LOC101117013	caspase-1-like	1.55966725169787	1.29255925334934	1.50714523328671	0.000703628492688339	0.00323810454195156	0.000926583581620984
ENSOARG00000003099	101122784	RASAL3	RAS protein activator like 3	-2.0715246078242	-2.17502010250992	-2.06933101733194	0.00695749569099084	0.00507375885456048	0.00700877617396695
ENSOARG00000003120	101122654	TFAP4	transcription factor AP-4	-1.96792224849542	-1.66849603299341	-1.96075057657741	0.000596491174522179	0.00186867829016561	0.000650689925721443
ENSOARG00000003180	101122495	IL27	interleukin 27	5.29001107759214	4.96348330443904	5.30829635027871	2.66617248536614e-07	2.70377217327977e-07	2.60944349468946e-07
ENSOARG00000003187	101102529		coronin-7	-1.18811249138541	-1.14760536470649	-1.25647299908027	0.00029033553338073	0.000450436941484122	0.000160452738607747
ENSOARG00000003207		XKR8	XK related 8	1.72190475427995	1.418378014721	1.53732655260396	0.000128983891823815	0.000705269439697566	0.000391303078710279
ENSOARG00000003209	101113584	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	-1.23127540093882	-1.1149832590122	-1.17498934191207	0.00296478554319361	0.00778161627026362	0.0048470359076949
ENSOARG00000003219	101103746	PLAGL2	PLAG1 like zinc finger 2	1.04407847363758	0.996139596345675	1.1623171799442	0.0171454786714061	0.0281167905149974	0.00634258327533799
ENSOARG00000003228	101111705	SLC2A6	solute carrier family 2 member 6	1.46228526112768	1.14932006456793	1.43264849991692	0.000739064159668465	0.0067632420272298	0.000906199507491095
ENSOARG00000003260				-1.36448710480909	-1.85588280198467	-1.25915667289136	0.00180377005611814	0.000164896556639319	0.00374806743226329
ENSOARG00000003263	101122713	FAM129A	family with sequence similarity 129 member A	2.37672988415004	2.13280793633662	2.31676898787994	0.000105895927863747	0.000255225794622348	0.000128387260428495
ENSOARG00000003290	101118472	RNF121	ring finger protein 121	1.26358053371308	1.09292968089495	1.35590025036012	0.00407456798156902	0.0157895352207837	0.00221548718190496
ENSOARG00000003314	101122327	POLB	DNA polymerase beta	2.3208785166172	2.17726663701122	2.27095387108624	1.44941015375643e-05	2.83907832638085e-05	1.75040462947394e-05
ENSOARG00000003352	100217409	NFIL3	nuclear factor, interleukin 3 regulated	2.04372789381629	1.62497530645581	2.10923368993356	6.02410034593106e-06	4.75711970762461e-05	4.54348620919788e-06
ENSOARG00000003353	101113409	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-1.72481413871631	-2.53976970320181	-2.05326382661639	0.0307487886543071	0.0041911836655999	0.0130453149892672
ENSOARG00000003394	101112709	AHDC1	AT-hook DNA binding motif containing 1	-1.44501460142855	-1.37262062673123	-1.28802925096822	0.000627644042533749	0.000963953274488063	0.0017945209847411
ENSOARG00000003401	101115679	KCNK1	potassium two pore domain channel subfamily K member 1	1.50680996676756	0.944831940217924	1.49707879361258	0.000183303634831214	0.0224595311974993	0.000201002586514729
ENSOARG00000003421	101120750	LAP3	leucine aminopeptidase 3	1.77929438496318	1.04776529165514	1.83731838561046	7.48742087999993e-05	0.0103538436982408	5.97671575585068e-05
ENSOARG00000003424	101108572	KIAA1211	KIAA1211 ortholog	-1.19446692806552	-1.24456048466062	-1.45405078273364	0.0104430967122055	0.00753655761028432	0.00223896121391747
ENSOARG00000003434	101116202	TARBP1	TAR (HIV-1) RNA binding protein 1	-0.996500438313765	-0.967023895178469	-0.941517395545933	0.0153372452030332	0.02176965166151	0.0287465747958927
ENSOARG00000003484		IL18BP	interleukin 18 binding protein	2.016422186629	1.19374746066867	1.95130931733388	0.00120004503102316	0.0470006752521682	0.00162224635453239
ENSOARG00000003559	101116746	ABCC3	ATP binding cassette subfamily C member 3	-1.42500007429606	-1.6258079366206	-1.48028139756315	0.000669766942312462	0.000254858138422207	0.000519881519018853
ENSOARG00000003602				1.22159517501785	1.04479923674163	1.16591373692482	0.000374293293969845	0.00242432355480731	0.000643133864233721
ENSOARG00000003609				-1.17741124496074	-1.3666616641363	-1.06737916615613	0.012639867214314	0.0036344280511203	0.0295052176293837
ENSOARG00000003617	101117988	ERO1B	endoplasmic reticulum oxidoreductase 1 beta	1.13156029013226	1.36535652141305	1.10343775043069	0.0153109619535982	0.00297941398161748	0.0198757290704117
ENSOARG00000003622	101115598	EDARADD	EDAR associated death domain	3.36322226251465	2.64221703440252	3.22797560894883	1.29653498052314e-05	8.63869359053182e-05	1.75220693540376e-05
ENSOARG00000003650	101111356	C12orf56	chromosome 3 open reading frame, human C12orf56	5.19361949678093	2.95530661589448	5.2571240365343	0.000102470131999291	0.00886616647495589	9.4662317835941e-05
ENSOARG00000003667	101119338	ZBTB47	zinc finger and BTB domain containing 47	-1.24672643735151	-1.44646559160535	-1.21077659351893	0.00199687391973565	0.000537323050936165	0.00274581343282782
ENSOARG00000003681	101114660	ZBTB7C	zinc finger and BTB domain containing 7C	-2.1699709379891	-2.49959004524783	-1.96612860724106	0.0022157099385096	0.000850883322730692	0.00440976503203146
ENSOARG00000003700				-1.01343242071756	-1.57370617852043	-1.04695984100556	0.0188441615258454	0.000409179412890302	0.0146673257088933
ENSOARG00000003740	101122570	SUCNR1	succinate receptor 1	2.33964228154614	2.09445113993802	2.40015522518707	1.10548004848085e-05	3.12040957668928e-05	9.63869942821582e-06
ENSOARG00000003763	101119144	AGO2	argonaute 2, RISC catalytic component	1.6511800265731	1.76914971789372	1.70830228767921	0.000120183376983087	7.2479510366697e-05	9.0173156539119e-05
ENSOARG00000003804	101120021	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	1.12518034385071	1.19354705296354	1.13493867480482	0.00223511474173334	0.00112657811913604	0.00205922694717594
ENSOARG00000003819	101111220	ZNF135	zinc finger protein 135	2.39077086296314	2.0134576089549	2.27886816516845	3.17781620461894e-05	0.000122290124085719	4.70879297424924e-05
ENSOARG00000003933		CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	-1.80210619766941	-2.92257496036657	-1.2869119398219	0.00605943804194572	0.000297654802398984	0.0432700853481661
