ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value
ENSOARG00000006041	101115294	TNRC6C	trinucleotide repeat containing 6C	-1.10479890407468	-1.17965693913207	0.0443732043919803	0.0308138856527589
ENSOARG00000006156	101106305	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	-1.23641906687875	-1.41256510334964	0.0126097236582166	0.005512542870569
ENSOARG00000006310	101114545		WAP four-disulfide core domain 3	-1.14867291333426	-1.16783881348201	0.0423422632887231	0.0424843023131999
ENSOARG00000006626	101103683	IRF7	interferon regulatory factor 7	2.44396211740825	3.94284178245401	0.0316938079973057	0.00352715890998799
ENSOARG00000006833				0.922466195377791	0.980515705767627	0.040226823987995	0.0284858415539623
ENSOARG00000006914	101114252	PLPP7	phospholipid phosphatase 7 (inactive)	-1.25970050289106	-1.48470881042461	0.0296306517680367	0.0101063087083118
ENSOARG00000006939	101108282	TENM3	teneurin transmembrane protein 3	-1.30743374992252	-1.24953024260323	0.00507627391426221	0.00903758599977444
ENSOARG00000007081	101114689	THADA	THADA, armadillo repeat containing	-1.03072436761419	-0.971622275538278	0.0173682566684676	0.0334352353288981
ENSOARG00000007191				-1.24876392889403	-1.75907543162893	0.00497431441069554	0.000332035475088536
ENSOARG00000007264	101117115	RAD54L2	RAD54 like 2	-1.13295112123052	-1.12259669301883	0.0348149889995281	0.0434446248598539
ENSOARG00000007266	101117989	FKTN	fukutin	-1.36657246191459	-1.28390645822849	0.0135241116802909	0.0244342598144987
ENSOARG00000007390	101122121	COPZ2	coatomer protein complex subunit zeta 2	1.17140027586299	1.04247085771106	0.00321724686041134	0.0106492220710559
ENSOARG00000007446	101116273	LOC101116273	glutathione S-transferase omega-1-like	1.6930413171128	1.35195224150417	0.00443167586984814	0.0210286199511929
ENSOARG00000007451	101113732	CRLF2	cytokine receptor like factor 2	2.66326784620103	3.17021015294837	0.00152344443982305	0.000470470998405064
ENSOARG00000007742				-1.32215696492306	-1.76865522391811	0.0479341084868742	0.0121990974613753
ENSOARG00000007908	100192422	MMP9	matrix metallopeptidase 9	1.89740384418577	2.15214869592417	0.0374718179635118	0.0232458097721033
ENSOARG00000008100	101108628	FUT11	fucosyltransferase 11	-1.35762385791467	-1.43342201883408	0.0400803260323246	0.034624751320555
ENSOARG00000008103	101102478	ZSWIM4	zinc finger SWIM-type containing 4	-1.14701685364399	-1.13752696916932	0.0343676164458395	0.0416835025033055
ENSOARG00000008488	101104022	FGGY	FGGY carbohydrate kinase domain containing	1.47425092481414	1.32155887543917	0.0111170121315748	0.0302162949481125
ENSOARG00000008531	101116325		PHD finger protein 11	1.11046396915757	1.4415524112283	0.0140217949042811	0.00221697631613601
ENSOARG00000008893	678672	SLAMF1	signaling lymphocytic activation molecule family member 1	2.0726460696675	2.35938897304481	0.00840281315047797	0.00725471070903357
ENSOARG00000009061	101116814	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1	-1.56609974395654	-1.37534873104106	0.010308897064892	0.0302000219419146
ENSOARG00000009097				1.83940403003753	3.00623626890332	0.0264034429378309	0.00196740536965904
ENSOARG00000009115		GPR173	G protein-coupled receptor 173	-1.55476009383968	-1.35423421011173	0.00672887785775579	0.0201088117691002
ENSOARG00000009154	101108211	STAT2	signal transducer and activator of transcription 2	1.07421307647773	1.60245002374427	0.028172169173116	0.00198882733228197
ENSOARG00000009365	101123441	LOC101123441	COMM domain-containing protein 7-like	1.95956167651604	2.02510760393454	0.0199680288000525	0.0175108389850963
ENSOARG00000009739	101108107	STMN4	stathmin 4	-1.20892462531348	-1.80411471686692	0.0293118107654178	0.00323249728433602
ENSOARG00000009917	101122809	NECAB2	N-terminal EF-hand calcium binding protein 2	1.11726260056174	1.33937916948774	0.0248266624973043	0.00761673845165936
ENSOARG00000009969	101121201	UBE2L6	ubiquitin conjugating enzyme E2 L6	1.51586956395745	2.14524214667086	0.0284459187440072	0.00413253776052874
ENSOARG00000009980	101105373	PCP4L1	Purkinje cell protein 4 like 1	1.14039584214762	1.20649802580541	0.037060387633804	0.0347948386523724
ENSOARG00000010842	101109793	ZC3HAV1L	zinc finger CCCH-type containing, antiviral 1 like	-1.54923260960816	-1.44439936806557	0.0281043216786281	0.0484163048593132
ENSOARG00000010938				-2.69895528624874	3.96825236144814	0.00904747936225002	0.0379181463760926
ENSOARG00000011060				1.03446618435177	0.990121569418833	0.0131505973109923	0.0212827277317334
ENSOARG00000011131	101103791		tripartite motif containing 14	1.85681559426333	2.21987717560087	0.0271944516660658	0.018103022088039
ENSOARG00000011386	101106397	EXOSC3	exosome component 3	1.03911192425996	1.27442810550673	0.0351402327725133	0.00884597902139663
ENSOARG00000011668	101123068	SBF2	SET binding factor 2	-1.03093669041762	-1.22461912403748	0.0454144111269122	0.0164156642535023
ENSOARG00000012018	101122117	SYBU	syntabulin	-1.56856864710086	-1.80184493889984	0.0348405165790389	0.0180860442624495
ENSOARG00000012144	101120348	KCNH1	potassium voltage-gated channel subfamily H member 1	1.63089257700656	1.87197012839596	0.0254782796428316	0.0129933234069775
ENSOARG00000012241	101106128	ADAM12	ADAM metallopeptidase domain 12	-1.43948229006806	-1.45529778314894	0.0093817525544002	0.0105622426710029
ENSOARG00000012296	101102005	PLEKHA4	pleckstrin homology domain containing A4	2.18038897985343	3.02489742361616	0.037060387633804	0.00840297123436769
ENSOARG00000012307	101108744	LRRC25	leucine rich repeat containing 25	1.60397056752667	1.68253842275932	0.0101377799516104	0.00925068863007753
ENSOARG00000012490		DBI	diazepam binding inhibitor, acyl-CoA binding protein	0.978989870433366	0.983484082678444	0.0201666102482752	0.021871686791672
ENSOARG00000012612	101107837	SLC44A5	solute carrier family 44 member 5	-1.444409500357	-2.20473945870483	0.0236048495842319	0.00199410870359242
ENSOARG00000012653	101110110	SLC19A1	solute carrier family 19 member 1	1.8559859854801	1.72029326247152	0.00469258378524336	0.00770648985073203
ENSOARG00000012802	101106105	VPS11	VPS11, CORVET/HOPS core subunit	1.03827354125089	0.889366352526109	0.00518130713032294	0.0293330670466668
ENSOARG00000012882	101112498	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	1.40005038351765	2.00590128942661	0.0357818492373598	0.00694157057630812
ENSOARG00000013144	101103054	IL1R1	interleukin 1 receptor type 1	-1.2356506912772	-2.43475973977508	0.0372897068415995	0.000574828095406764
ENSOARG00000013361	101111519	RFX3	regulatory factor X3	-1.37202038370338	-1.8962398978987	0.0496988926429902	0.0117762563801027
ENSOARG00000013385				1.16826475480735	1.2749416009989	0.022183302808254	0.0155823593721761
ENSOARG00000013952	101115929	MORC3	MORC family CW-type zinc finger 3	0.996909371022759	1.28382532228214	0.0499978193226337	0.0104544435952722
ENSOARG00000014104	780463	LOC780463	60S ribosomal protein L17	1.0218726793032	1.48136078321953	0.0322114979742845	0.00250080411937785
ENSOARG00000014665				1.02039701272464	1.48055210156036	0.0318901213519203	0.00241833058126249
ENSOARG00000014762	101119095	AFAP1L2	actin filament associated protein 1 like 2	-1.5055951208381	-2.38870589347929	0.00745681736637252	0.000346449416157233
ENSOARG00000014804	101111277	C19orf66	chromosome 5 open reading frame, human C19orf66	1.79834639579943	2.45342780691669	0.0428193451986912	0.0116916877732268
ENSOARG00000015053	101119265	KYAT3	kynurenine aminotransferase 3	1.05404853396883	1.08654559442342	0.0377910074591578	0.0359279383454087
ENSOARG00000015080		CMTM7	CKLF like MARVEL transmembrane domain containing 7	1.02151789351896	1.19866973225562	0.0207561667171093	0.00616767851986399
ENSOARG00000015422	101121574	AIFM1	apoptosis inducing factor mitochondria associated 1	0.928784249390239	0.961783691640084	0.035765022659708	0.0314521125342609
ENSOARG00000015581	101111201	PARP10	poly(ADP-ribose) polymerase family member 10	1.38253974354865	2.43142325725393	0.0471910193260282	0.00224469053170231
ENSOARG00000015799	101103493	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1	-1.27324836578478	-1.31031147181821	0.030633079277186	0.0336896651599002
ENSOARG00000015979		RIMS2	regulating synaptic membrane exocytosis 2	-1.81265277397226	-1.97357367316486	0.00918149272944205	0.00770865390201821
ENSOARG00000016029	101114803	NETO2	neuropilin and tolloid like 2	-1.45918786518234	-1.96557056035177	0.0220501088180889	0.00455414537513986
ENSOARG00000016237	101117505	PDE4A	cAMP-specific 3',5'-cyclic phosphodiesterase 4A	1.2916232387799	1.84175873178981	0.0318751189596142	0.00679528027480996
ENSOARG00000016566				1.82402390384298	1.36770295079279	0.0204119914015294	0.0385866051979737
ENSOARG00000016860	101118098	POLM	DNA polymerase mu	1.65222385005856	2.67385782374347	0.0489923048468751	0.0112753712441065
ENSOARG00000017120	101120275	TMEM132B	transmembrane protein 132B	-1.98649723065389	-2.1055356105918	0.0290434288709759	0.022452462832203
ENSOARG00000017492	101117657	LOC101117657	methyltransferase-like protein 7A	2.09100750830903	2.17973675762161	0.00643181133798954	0.00666636161521556
ENSOARG00000017615	101117611	TOX3	TOX high mobility group box family member 3	-1.09280663590769	-1.2733230426549	0.0439077482307046	0.0212273353214813
ENSOARG00000017785				-1.55620653069508	-2.60395561948622	0.0337262861367898	0.000869875975056621
ENSOARG00000017796				1.56829695133921	3.05842762026306	0.0342843910913066	0.00136750243238858
ENSOARG00000018934	101107089	ZNF786	zinc finger protein 786	-1.13882967696756	-1.05016044600317	0.0239096085754373	0.0413244343685292
ENSOARG00000019184	101104538	SORT1	sortilin 1	0.92984089639813	0.897088200900981	0.0211267920228668	0.0334139171598734
ENSOARG00000019733	101117713	MOV10	Mov10 RISC complex RNA helicase	1.27962575098032	2.42309528735303	0.0499918635102526	0.00139798535621569
ENSOARG00000019790	101107403	MAATS1	MYCBP associated and testis expressed 1	-1.22022713354168	-1.3793412633191	0.0233760694011484	0.0144067421361158
ENSOARG00000019993	101111554	ACTC1	actin, alpha, cardiac muscle 1	-1.78371855057045	-1.5884234753524	0.0184209336246046	0.039071022079029
ENSOARG00000020110	101115356	SOX5	SRY-box 5	-2.00013828222277	-1.77535330018363	0.0120733031700046	0.0397171447480128
ENSOARG00000020183				-1.76225230302798	-1.70074590424405	0.0330618151754447	0.0363226626503285
ENSOARG00000020198	100620050	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4	2.19459627766763	2.47745091275076	0.042768771503132	0.0316924830949832
ENSOARG00000020218	101122230	ZMPSTE24	zinc metallopeptidase STE24	-1.0381560317421	-1.21264109506315	0.0122945775056404	0.00334409924379179
ENSOARG00000020442	101112098	NOTCH2	notch 2	-1.06285152245691	-1.17741019570953	0.0344858271202614	0.0196947582754797
ENSOARG00000020495	100125352	RTP4	receptor transporter protein 4	1.52968990675206	2.74487569802419	0.0321733135266846	0.00121181000390373
ENSOARG00000020512	101112103	RFC4	replication factor C subunit 4	1.28315367391726	1.42382425741355	0.033038044067654	0.0232949816719836
ENSOARG00000020547	101113972	CHD1L	chromodomain helicase DNA binding protein 1 like	1.05557292181936	1.16120165750468	0.0420526830032152	0.0257771556835352
ENSOARG00000020726				-2.25346881531385	-2.17070564824594	0.00989358801305579	0.0165398990390917
ENSOARG00000020889	101121425	NEDD4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase	-0.947285449932731	-1.53903745413766	0.0454605618689876	0.00099542047172754
