ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000003244	101112476	CCDC136	coiled-coil domain containing 136	0.946696293395901	1.07514240274741	0.0361873032983124	0.0123015074799702
ENSOARG00000003245	101115747	INA	internexin neuronal intermediate filament protein alpha	2.373777613311	2.63747492515943	0.00699546034259234	0.00376727806405533
ENSOARG00000003247	101110316	GNS	glucosamine (N-acetyl)-6-sulfatase	1.25314301152811	1.03465184367594	0.00965264711957671	0.0366461812046623
ENSOARG00000003302	101123174	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	-1.14528389582591	-1.26085424126316	0.00397504688389522	0.00146088669843167
ENSOARG00000003308	101105941	ZNF667	zinc finger protein 667	-1.51881686040649	-1.28053782492677	0.011356341578002	0.0320330623479067
ENSOARG00000003318	101103349	TRIM2	tripartite motif containing 2	1.69297519596513	2.03476619943146	0.00583044600215141	0.00191241853329172
ENSOARG00000003381	101106021	C1QBP	complement C1q binding protein	-0.903215690512284	-1.01478177011427	0.0281866443229909	0.00859649519986357
ENSOARG00000003391	101110553	PCGF6	polycomb group ring finger 6	-1.24686942718897	-1.34911418612976	0.0155067834676169	0.00839047355264085
ENSOARG00000003436				-0.97053582829121	-1.02640233279468	0.0175754799339683	0.00986484872537447
ENSOARG00000003457	101106598		POP1 homolog, ribonuclease P/MRP subunit	-0.955337858567809	-1.09390428115835	0.0463155212655804	0.0159646140363368
ENSOARG00000003467	101102279	HMOX2	heme oxygenase 2	-0.938522931268087	-1.18754164559166	0.0195731401610186	0.00165670755210265
ENSOARG00000003503	101120686	UTP4	UTP4, small subunit processome component	-0.939095201906559	-1.00735548701584	0.0196612100703932	0.00960795654475206
ENSOARG00000003504	101111086	XPOT	exportin for tRNA	-1.19823231573187	-1.06956860320169	0.00363067342329159	0.0106582659150952
ENSOARG00000003537	101106269	SYNE1	spectrin repeat containing nuclear envelope protein 1	1.2387967836078	1.44464204795692	0.00346290321286545	0.00103432862980635
ENSOARG00000003552	101121367	TMED6	transmembrane p24 trafficking protein 6	-1.67639347800984	-1.82659638442688	0.0118829667749634	0.0070048926055288
ENSOARG00000003573	101108242	RNF2	ring finger protein 2	-1.03762744580969	-0.89613746781071	0.0127720376991912	0.0473177004402897
ENSOARG00000003581	101106892	CMPK1	cytidine/uridine monophosphate kinase 1	-0.951412546391166	-0.989792102099731	0.00977087650341526	0.00603126593360679
ENSOARG00000003604	101114326	CORO1A	coronin 1A	1.44879419546903	1.25904331154393	0.0115103020477118	0.0263056345510044
ENSOARG00000003624	101110423	DOCK9	dedicator of cytokinesis 9	-1.86693158411363	-2.07903053357194	0.00569234385138206	0.00254689093016205
ENSOARG00000003630	101107463		zinc finger protein 548	-1.23142506351685	-1.17912792264546	0.00615989403366461	0.0090582855032301
ENSOARG00000003641	101114301	LOC101114301	zinc finger protein OZF-like	-1.03792367462302	-1.45592840862761	0.0458938366834047	0.00430350182337704
ENSOARG00000003647	101105624	EFNA1	ephrin A1	-1.83089714211457	-1.5574664818594	0.0100356184714168	0.027127283226819
ENSOARG00000003701	101114918	MBNL1	muscleblind like splicing regulator 1	1.35818603670911	1.32706169396984	0.0243777403099897	0.028666603131107
ENSOARG00000003731	101106185	PSME3	proteasome activator subunit 3	-0.883730950787278	-1.04534627112121	0.0167909680013662	0.0022935684850968
ENSOARG00000003780				-1.32404601666733	-1.40800923415583	0.0342221414968843	0.0246430271187198
ENSOARG00000003861	101105085	SPATA20	spermatogenesis associated 20	0.903050201289424	0.998452259130906	0.0348913325008487	0.0142505386707636
ENSOARG00000003884				1.07676521717629	1.09203802574479	0.0433526928536534	0.0409429632231948
ENSOARG00000003900	101117987	BMS1	BMS1, ribosome biogenesis factor	-1.17089786741336	-1.22551773618474	0.00255614298780859	0.00160590329508137
ENSOARG00000003906	101118219	ARHGAP1	Rho GTPase activating protein 1	0.932974914290842	0.967228530933187	0.0409520505920898	0.0304496736906227
ENSOARG00000003967	101115637	CNST	consortin, connexin sorting protein	-1.20550234317177	-1.19078488052551	0.0094702039519094	0.0099360275483576
ENSOARG00000004052	101106614	PLEKHF1	pleckstrin homology and FYVE domain containing 1	2.21960480235224	1.84384844339154	0.0232647691922743	0.0459213138655084
ENSOARG00000004128	101109727	PKIG	cAMP-dependent protein kinase inhibitor gamma	1.23388657673456	1.21613601083188	0.0285517888720634	0.0302944807112938
ENSOARG00000004148	101123334	TMEM135	transmembrane protein 135	-1.24458508945134	-1.09088678832656	0.00611987756799316	0.0183501504678803
ENSOARG00000004157	101109863	PIGV	phosphatidylinositol glycan anchor biosynthesis class V	1.27949010436043	1.44264523677116	0.014168971018646	0.0068544190547548
ENSOARG00000004209		P2RY13	purinergic receptor P2Y13	1.62353555087167	1.71129031851763	0.037060387633804	0.0299422707701843
ENSOARG00000004215		NFATC1	nuclear factor of activated T cells 1	1.47386886090177	1.47103758790525	0.0203733151013115	0.0207351873768701
ENSOARG00000004295	101108356	ATP9B	ATPase phospholipid transporting 9B (putative)	1.11291236997245	0.97849082742549	0.0105689792427616	0.0296577874841512
ENSOARG00000004308	101123077	KLHL18	kelch like family member 18	-0.892815356071873	-1.06869833606618	0.0447911035999623	0.00878729525302026
ENSOARG00000004328	101118274	ELOVL6	ELOVL fatty acid elongase 6	-1.43290787286758	-1.2161800788777	0.0127675327498344	0.0352540452849871
ENSOARG00000004331	101108234	SERAC1	serine active site containing 1	-1.10910525584038	-1.25002698810696	0.0458938366834047	0.0221820794744678
ENSOARG00000004341				-0.959255713564974	-1.04578114932241	0.0217653472816684	0.00954140263065929
ENSOARG00000004385	101112236	ZIC5	Zic family member 5	-2.06418809786607	-1.46173353003842	0.005379364427348	0.0363988073257185
ENSOARG00000004401				-0.944510822581635	-1.08296787510881	0.0430128173376462	0.0136481997794838
ENSOARG00000004403	101121742	ARID5B	AT-rich interaction domain 5B	1.39653617180651	1.57972161182895	0.0331255720668495	0.0177888206347323
ENSOARG00000004442	101112991	PCCA	propionyl-CoA carboxylase subunit alpha	0.96030641762188	1.19600130850238	0.0274582292082903	0.00413483703458729
ENSOARG00000004497	101119511	ZNF445	zinc finger protein 445	-1.18232088854568	-1.38177275865932	0.0197760135543223	0.00623406608281314
ENSOARG00000004516	101123317	UBOX5	U-box domain containing 5	-0.915624339946301	-1.19881606365891	0.0318573937147678	0.00224282130290835
ENSOARG00000004567	101105897	GTF2A1L	general transcription factor IIA subunit 1 like	2.01047323988668	2.16250890004671	0.00630861941587539	0.00424155834956802
ENSOARG00000004568	101111291	MRPL18	mitochondrial ribosomal protein L18	-1.0692958203303	-1.0519083574169	0.00628150297530567	0.00728258455145774
ENSOARG00000004612	101120534	MSTO1	misato 1, mitochondrial distribution and morphology regulator	-1.02283288130819	-0.945425870313714	0.0186356128040093	0.0354926149680745
ENSOARG00000004632	443500	IGF2R	insulin like growth factor 2 receptor	1.37796561698357	1.21778860538263	0.000419228319144177	0.00122788295911656
ENSOARG00000004652	101122622	ZNF792	zinc finger protein 792	-0.986905149081381	-1.00205776862858	0.0272849967296332	0.0249302895724857
ENSOARG00000004691	100302077	RAB21	RAB21, member RAS oncogene family	-0.855808425603553	-0.813498472515885	0.0287634049574955	0.0481759554151627
ENSOARG00000004723		CENPB	centromere protein B	-1.01930576326319	-0.913280982519402	0.010345660584977	0.0294697275690652
ENSOARG00000004822	100188916	FBXO21	F-box protein 21	-1.08674621178651	-1.17605940275577	0.0128031698073793	0.00640997991100033
ENSOARG00000004843	101120567	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	-1.77996277327515	-1.80316061028337	0.0259301139033683	0.0243784429009178
ENSOARG00000004913	101118095	CAMSAP1	calmodulin regulated spectrin associated protein 1	-1.13961727916214	-1.04830836555812	0.011513912910787	0.0224215654263782
ENSOARG00000004923	101108377	EMG1	EMG1, N1-specific pseudouridine methyltransferase	-1.08276449983414	-1.14151526076097	0.00922853742068235	0.00562580242267961
ENSOARG00000004952	100529154	NUDT9	nudix hydrolase 9	1.02060493702502	0.99795442054727	0.0107611241720244	0.0134046572588132
ENSOARG00000005028	101108059	PTDSS1	phosphatidylserine synthase 1	-0.887920399341776	-0.874892196579029	0.026357038039339	0.0296577874841512
ENSOARG00000005032	101108643	PTPN6	protein tyrosine phosphatase, non-receptor type 6	1.67222211625646	1.41400235126084	0.00705351651169553	0.0192983815049811
ENSOARG00000005046	101107426	MSH6	mutS homolog 6	-1.19160011878377	-1.05860151984887	0.0017926722864947	0.00608713554536049
ENSOARG00000005053	101114400	ZFYVE9	zinc finger FYVE-type containing 9	-1.28831627672082	-1.275945148763	0.0050411147783728	0.005715924481727
ENSOARG00000005055	101103467	HBP1	HMG-box transcription factor 1	1.02096258525134	1.41811069098249	0.0290278287123414	0.00242941726438595
ENSOARG00000005087	101115989	PTCD2	pentatricopeptide repeat domain 2	-1.08268684225372	-1.22369623276863	0.0364908984488531	0.0156482423043584
ENSOARG00000005112	101122241	HPS3	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1	1.24045265433202	1.30156975611585	0.00448717863165715	0.00301193023950471
ENSOARG00000005235	101103289	GYG1	glycogenin 1	1.53494879802569	1.86747639397696	0.00168107132675611	0.000428767376577635
ENSOARG00000005255	101117884		mutS homolog 5	1.90911160792125	1.84091337624252	0.0367581138355771	0.0383990923419698
ENSOARG00000005294	101106644	TPGS2	tubulin polyglutamylase complex subunit 2	-1.12207896171801	-1.25383477517397	0.0143735244424652	0.00574973133041265
ENSOARG00000005295				-0.857697713117826	-0.856744434252224	0.0338617455455932	0.0339543623237517
ENSOARG00000005320	100144756	CDK4	cyclin dependent kinase 4	-0.950587006956788	-0.961103569804513	0.0263609026841591	0.0230743619747575
ENSOARG00000005401				1.10135587532197	1.12355464484339	0.029552379094104	0.0269350084109777
ENSOARG00000005419	101108206	TTC7A	tetratricopeptide repeat domain 7A	1.9633757912837	1.8005231335336	0.00258413439567987	0.00430693472686614
ENSOARG00000005469	101106735	USP7	ubiquitin specific peptidase 7	-0.990177717870998	-1.01590125990439	0.00598512817976802	0.00433006417108016
ENSOARG00000005514	101118391	DDAH2	dimethylarginine dimethylaminohydrolase 2	1.46570540041497	1.35803526974287	0.00239701659302466	0.0038961106651152
ENSOARG00000005522	101109993	SIPA1L3	signal induced proliferation associated 1 like 3	-1.10299998086217	-0.925169902221588	0.00696332037972574	0.0343787489360659
ENSOARG00000005547	101112549	GTF3C5	general transcription factor IIIC subunit 5	-1.07689919503815	-1.0834334804532	0.0127692118422552	0.0123360583716336
ENSOARG00000005566	101109372	DLX3	distal-less homeobox 3	1.81472219320249	1.68652174605519	0.027719074804171	0.039014269368535
ENSOARG00000005588	101111312	CATSPERG	cation channel sperm associated auxiliary subunit gamma	-1.45681342963767	-1.87818008218166	0.0342789574001956	0.0104831005752593
ENSOARG00000005589	101118729	MARVELD2	MARVEL domain containing 2	1.81978210781762	1.75791054729913	0.0223435910435537	0.0302432979973453
ENSOARG00000005591	101120211	KIF22	kinesin family member 22	1.59113421875214	1.4249799447977	0.0149795037183914	0.0257790078647646
ENSOARG00000005595	105605457	LOC105605457	chromobox protein homolog 1	-0.986711778938688	-0.917081275712433	0.0189407385657666	0.0357794113436352
ENSOARG00000005636		GSPT2	G1 to S phase transition 2	-1.68482433912295	-1.51040845712076	0.00218801072814827	0.00484832365961454
ENSOARG00000005652	101110222	CDCA3	cell division cycle associated 3	2.24935181371464	2.11399717591519	0.0141488374127391	0.0227786350756521
ENSOARG00000005666	101103413	CPXM1	carboxypeptidase X, M14 family member 1	-1.68552701186504	-1.47091123140846	0.00162720018636668	0.00422944686768179
ENSOARG00000005779		PAQR7	progestin and adipoQ receptor family member 7	1.77532735775237	2.52599449744936	0.0225488296863557	0.00462299248429356
ENSOARG00000005803	101103024	TMEM79	transmembrane protein 79	1.10452003625169	1.50382109892819	0.037465308925623	0.00604516693763645
ENSOARG00000005817		CHST2	carbohydrate sulfotransferase 2	1.97477329080181	1.88623258802722	5.73109194993029e-05	8.66687174842614e-05
ENSOARG00000005859	101103435	SLC25A22	solute carrier family 25 member 22	-1.49892308752881	-1.36800017111813	0.00420807817029516	0.00800596379112819
ENSOARG00000005870	101121455	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	1.41257394779282	1.50338780520028	0.00755597772424323	0.00514357346706818
ENSOARG00000005906	101118089	MAN1C1	mannosidase alpha class 1C member 1	0.996524603293799	1.22057951917482	0.0295344590288865	0.0058626295702973
ENSOARG00000005908		ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase	1.68080788182382	1.40667208161595	0.00962165069524975	0.0266639598242848
ENSOARG00000005917	101117434	EIF2D	eukaryotic translation initiation factor 2D	-0.88607692555027	-0.901773721822359	0.0394573755669928	0.0324489667167165
ENSOARG00000005931		B3GALT6	beta-1,3-galactosyltransferase 6	-1.86854601566407	-1.70672276898392	0.00392389606623512	0.00728258455145774
ENSOARG00000005998	101117276	MADD	MAP kinase activating death domain	-1.54334433991535	-1.22158665069653	0.00763138811491602	0.0336140421020578
ENSOARG00000006070	101109367	TP53INP1	tumor protein p53 inducible nuclear protein 1	1.22415838618304	1.53770013484113	0.0300859692086476	0.00916455202845348
ENSOARG00000006097	101116800	MAGED2	melanoma-associated antigen D2	0.967235357759624	0.919301513029311	0.0318522246066425	0.0465942626768395
ENSOARG00000006153		PDGFA	platelet derived growth factor subunit A	1.64118462413784	1.26401703598567	0.0105352364649366	0.0401625040617333
ENSOARG00000006197	101104962	RGS3	regulator of G protein signaling 3	2.04775724380395	2.14169779831301	0.029284445184585	0.023839040594497
ENSOARG00000006215	101108672		TNF receptor superfamily member 18	2.13116318516261	2.25581838179741	0.00562816985428436	0.00386840594353568
ENSOARG00000006230	101118313	KIAA0319	KIAA0319 ortholog	-2.14367289533412	-1.78642800089359	0.0129428618048512	0.0329565753923529
ENSOARG00000006276	101108871	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	-1.20932778114064	-1.04487040291898	0.00432807003109555	0.0159962867671006
ENSOARG00000006331				2.32745693439604	1.38283337750258	0.00261635618097247	0.0409316670931239
ENSOARG00000006352	101113105	POC1A	POC1 centriolar protein A	2.42255238549603	1.89053601854337	0.00390450775010811	0.0157186126295766
ENSOARG00000006410	101109808	COL12A1	collagen type XII alpha 1 chain	1.09170214475651	1.161924184295	0.0153683461068884	0.00896893169635341
ENSOARG00000006447		JPH1	junctophilin 1	-2.80493892673915	-3.04577359863074	0.0196783022379389	0.0139390191996415
