ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000000791	101114199	HEBP2	heme binding protein 2	1.79684662476093	1.29323940975524	1.80815545114347	0.00048322436143424	0.00604984645887066	0.000461483172638967
ENSOARG00000000846	101122529	CCDC28A	coiled-coil domain containing 28A	1.58254794246658	1.20422384162982	2.11870096488557	0.00398080857866756	0.0219393372057771	0.000636355756264404
ENSOARG00000000854				1.74817336031876	1.33011068648638	1.94414746821035	0.0061270675617278	0.0319444707669568	0.00303130550810568
ENSOARG00000000856	101107359		cytochrome c pseudogene	11.7413924727398	8.26487542534205	6.32707450753267	9.22689749073342e-07	1.22822396635692e-06	2.06844802345168e-06
ENSOARG00000000866	101105812	SLC35E3	solute carrier family 35 member E3	-1.18678838887195	-1.44031560335553	-1.45436287095302	0.0121187874224474	0.00281974293784484	0.00224810397581771
ENSOARG00000000875	101117499	TPM4	tropomyosin 4	0.941997579683056	1.11638402608814	0.953249607013752	0.0423116219655596	0.0117814312140083	0.0377831525449442
ENSOARG00000000883		CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	-2.55625111537564	-2.89997952336282	-2.66577344581539	0.000210854078888668	7.64868090160008e-05	0.000145924264728121
ENSOARG00000000896				2.31613637591288	3.13136191023797	2.36324437744031	0.0129428618048512	0.00328925843403675	0.0116286848383836
ENSOARG00000000912	101114082	LOC101114082	annexin A8	3.72954693857101	3.76272086810427	3.85805789815506	1.27497067478914e-05	1.30876742460943e-05	1.11387528213772e-05
ENSOARG00000000918	101113838	TFPI2	tissue factor pathway inhibitor 2	-1.46148117385055	-1.6005859883413	-1.58276379524842	0.0175511493917814	0.0113591574110988	0.0108670177260237
ENSOARG00000000920		PNPLA7	patatin like phospholipase domain containing 7	2.31471794733872	1.83658912017732	2.46703481104138	0.000278771934774268	0.00167520613017203	0.000193071597037828
ENSOARG00000000926	101114870	ENOPH1	enolase-phosphatase 1	-1.04365768310546	-1.15151827684399	-1.20593274067594	0.00481177998085939	0.00178952058685076	0.000972949772679373
ENSOARG00000000933	101117622	CYP46A1	cholesterol 24-hydroxylase	-1.54297938644821	-2.71641528152989	-1.80469899366043	0.0478722781193575	0.00193790478350311	0.0194964283105455
ENSOARG00000000935	101106534	LOC101106534	multidrug resistance-associated protein 4	-2.0625572707513	-1.8610109122632	-1.97363195503808	0.00187259217602924	0.00472436463073914	0.00252109567333054
ENSOARG00000000942	101120424	RNF213	ring finger protein 213	2.39504668080655	4.17601522467695	2.23130793635778	0.00153471071965889	6.00540672918152e-05	0.00227620650834145
ENSOARG00000000946	101117061	GTPBP6	GTP binding protein 6 (putative)	-1.51884535225485	-1.11544019988622	-1.45591476519533	0.000912736755743367	0.0139212474046693	0.00125338612138871
ENSOARG00000000948	101110086	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	-1.24578815412335	-1.12349817486342	-1.15338057679463	0.00156351604320447	0.00507992845078962	0.00333074191849652
ENSOARG00000000950	101122940	A2M	alpha-2-macroglobulin	7.23003159019034	6.30270530021367	7.1410610950599	4.15836125418997e-07	7.43054352873223e-07	3.81269891829598e-07
ENSOARG00000000984		HIST1H2BD	histone cluster 1 H2B family member d	2.34977861240042	2.15517459114452	2.43572592385934	0.00235202543265518	0.00366029879355429	0.00193589461194192
ENSOARG00000000985	101110657	LOC101110657	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2-like	-2.27404894051378	-2.06279460749249	-2.49966016652674	5.69099900255578e-06	1.44987251239726e-05	2.95122491443915e-06
ENSOARG00000000998	101106193	DHX35	DEAH-box helicase 35	-1.11187677737053	-0.992206637498918	-1.26776806658307	0.00781732458431952	0.024122352725243	0.00212862957584929
ENSOARG00000001000				1.82878263356927	2.0981818972669	1.84638732710963	0.00150589128147036	0.000594902321531789	0.00150491140259496
ENSOARG00000001026	101103905	SLC13A5	solute carrier family 13 member 5	4.93450834938551	6.03228474063789	6.39781178888291	9.71034270244792e-05	0.00011128950468236	6.33886730758188e-05
ENSOARG00000001038	101121183	DRG2	developmentally regulated GTP binding protein 2	-1.17756344087438	-0.89620572667526	-1.2413311673176	0.000709581750605837	0.0185378756414303	0.000404096952397256
ENSOARG00000001060	443087	KDR	kinase insert domain receptor	3.73252740268427	4.07463602002088	3.42764858113295	0.0234662645938907	0.0325657427045553	0.0333610216486836
ENSOARG00000001072	101105027	TRPC3	transient receptor potential cation channel subfamily C member 3	5.29964569909305	3.91615574984855	3.4609100112808	0.000226492602737689	0.00189845229077699	0.00123700086473221
ENSOARG00000001074				-1.37894613064638	-1.42207974349924	-1.26614404222739	0.0205429048773238	0.0179926507197161	0.0329913912041286
ENSOARG00000001076	100037669	NPC2	NPC intracellular cholesterol transporter 2	2.08995715576408	2.1587965696925	2.18813373354974	2.20924634900305e-05	1.91763180323169e-05	1.63031731725719e-05
ENSOARG00000001077	101107653	RALBP1	ralA binding protein 1	0.916845426310593	0.89516653358448	0.957177828291051	0.0155091657387018	0.0225065488264321	0.00971990363372783
ENSOARG00000001101	100192421	GNG11	G protein subunit gamma 11	5.48280560850844	5.71766528537223	5.81464951369906	1.02429263812988e-06	1.22822396635692e-06	1.24351405884301e-06
ENSOARG00000001102	101117203	KIF2C	kinesin family member 2C	2.05655532802087	2.29659723265539	2.34981110251458	0.00490317537060153	0.00355566978540802	0.00248241844765573
ENSOARG00000001103				6.59604310188239	5.39147026317386	4.33827905781504	1.07054438590117e-05	2.1783542419293e-05	4.53383666875918e-05
ENSOARG00000001109	101108552	HMGN5	high mobility group nucleosome binding domain 5	2.60240971108897	2.66295538690931	3.35656909524256	0.000597777874427847	0.000820427461703175	0.000220142884958731
ENSOARG00000001110		SBK1	SH3 domain binding kinase 1	-1.90517593868505	-2.10886169361754	-2.25856539924212	0.00125603854282896	0.000673665215442804	0.000333599333772833
ENSOARG00000001130	101123239	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	-2.1247196808765	-2.0598334134274	-2.71947231217789	0.00226347959513709	0.00453492019213023	0.000471668434888638
ENSOARG00000001139		GID4	GID complex subunit 4 homolog	-1.12708490218038	-0.949957194589017	-1.1320879650972	0.00896449717370314	0.0434847499907015	0.008352255726885
ENSOARG00000001148	101105539	HFE	homeostatic iron regulator	1.65173690927358	1.45244525504124	1.50939003740303	0.00327162543212011	0.00974652953744459	0.00613051603128168
ENSOARG00000001150				-1.68038175168702	-1.30301619614028	-1.84288402057162	0.00536086448591142	0.02945567413048	0.00272500535538842
ENSOARG00000001151	101115125	TMEM150C	transmembrane protein 150C	-1.44045131659539	-1.77854610731874	-1.416117346775	0.016279546157742	0.00531979007179774	0.0181989496789109
ENSOARG00000001159	101122213	MMP15	matrix metallopeptidase 15	-1.78222356863782	-1.48575890208896	-1.67505675353847	0.0129428618048512	0.0392489517861775	0.0185207459287406
ENSOARG00000001165	101108558		BOLA class I histocompatibility antigen, alpha chain BL3-7-like	3.46952283277971	3.51745254636431	3.31416461784299	5.73814587435927e-06	5.6303606154602e-06	7.87362436022884e-06
ENSOARG00000001181	101109080	LOC101109080	HLA class I histocompatibility antigen, Cw-4 alpha chain-like	2.87335350603318	3.00867795055306	2.72470257579441	4.37211959971508e-05	3.49886510393345e-05	6.42204046887075e-05
ENSOARG00000001184	101123499	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	-2.9503032535649	-2.60409167547367	-2.9681850844913	0.00637839504869064	0.0231945885691757	0.00533654044887178
ENSOARG00000001187	101113656	ITGA6	integrin subunit alpha 6	-1.14566389436162	-1.13214185782029	-1.10215566257232	0.00693158498571803	0.00903758599977444	0.00947139725993591
ENSOARG00000001191	101121849	TMEM140	transmembrane protein 140	3.25303822065926	3.12407055560436	3.62367492127109	0.000263567408027798	0.000329413051641321	0.000154265672973089
ENSOARG00000001214				1.17409086442335	1.30491687804437	1.40997421155089	0.00801595842847787	0.00419736083827807	0.00194941541261028
ENSOARG00000001238	101115363	DMXL1	Dmx like 1	2.10905580189749	1.67353612021491	2.32100720683106	0.00219564124723474	0.0115593496063801	0.0011796602881839
ENSOARG00000001244	101122566	SERPINI1	serpin family I member 1	2.70878744624271	2.49027939476717	2.68496201875229	5.01903717693338e-05	0.000103613203818093	5.99462329083949e-05
ENSOARG00000001249	100127208	SCD5	stearoyl-CoA desaturase 5	-2.23854825621456	-2.2849107635769	-2.28037512574533	0.000540487693333796	0.000587214425610731	0.000456567288970056
ENSOARG00000001252	101112298	LOC101112298	melanoma-associated antigen 10-like	4.85119078745973	4.37978455625635	3.81316415646375	5.31494742200853e-06	1.3970611087227e-05	1.9023293303846e-05
ENSOARG00000001254	100820740		tenascin XB	-1.06466097293528	-1.91074769545533	-1.58342345524478	0.0304849496152619	0.000335661884393415	0.00144304479242441
ENSOARG00000001259	101101924	UBE2Q2	ubiquitin conjugating enzyme E2 Q2	-1.8508637184629	-1.62988824721703	-1.95724905399173	0.00253605807857698	0.00726056022381924	0.00168524153367408
ENSOARG00000001269	443122	STAR	steroidogenic acute regulatory protein	3.53542605596065	2.86542423565985	3.6287774967111	7.38681317941473e-05	0.000357248050149369	7.66454327699744e-05
ENSOARG00000001273	100302359	TXNDC17	thioredoxin domain containing 17	1.07386014272256	1.13421435496699	1.03008072396168	0.0184577044787183	0.0134646395617397	0.0257301557947489
ENSOARG00000001274	101120511	CDC25B	cell division cycle 25B	1.20767468498691	1.37197199541943	0.963246835871074	0.00811134081322239	0.00350977109253883	0.0463063431341853
ENSOARG00000001297		NOXA1	NADPH oxidase activator 1	2.77838396908526	2.24952790089251	2.66195985759657	0.0032424782289394	0.00581377170956309	0.00422186349008132
ENSOARG00000001299	101122826	PDCD10	programmed cell death 10	1.01247235683218	1.0837064139702	1.16821142297287	0.0075425591830316	0.00431951246247369	0.00175505375763074
ENSOARG00000001304	101105640	LOC101105640	NKG2D ligand 1-like	-2.09753939082288	-1.87267316557167	-2.71666079449299	0.00235233069151056	0.00629042289301912	0.000384216940171776
ENSOARG00000001308	101108128	PCDH1	protocadherin 1	-1.1350085117834	-2.46519277049115	-1.42085923236877	0.010916304973637	1.75485057222774e-05	0.00149184325048888
ENSOARG00000001339				-1.55220967136682	-2.59389207837887	-1.92104593494462	0.0181958453093391	0.000666360128446145	0.00425977618245714
ENSOARG00000001355				1.81109916162322	1.94127908918115	1.45924431901424	0.0127129344677226	0.00926756348452788	0.0383990923419698
ENSOARG00000001357				3.76140027311461	3.04737952895985	3.77160009195218	2.9058589088716e-05	0.000141406760733946	3.43140902401058e-05
ENSOARG00000001366	101104558	CENPI	centromere protein I	1.71240612328551	1.42415598943735	2.49156872447497	0.0183410126037152	0.0491240315888436	0.0028904688174049
ENSOARG00000001371	101118320	DHCR7	7-dehydrocholesterol reductase	-2.48702376873205	-1.51538455903692	-2.46706473568287	9.47865466962425e-06	0.00108320295650025	1.06724288357382e-05
ENSOARG00000001389				4.51090652787798	2.98026550569032	3.39194275570532	0.00011089562333563	0.00194354426348748	0.000416143891243563
ENSOARG00000001395	101119187	TINAGL1	tubulointerstitial nephritis antigen like 1	1.23279008209337	2.43094520008875	1.13664470308255	0.0191915833564336	0.000221509236551136	0.0309949553887651
ENSOARG00000001399	101122806	SLC24A3	solute carrier family 24 member 3	-1.30484722220015	-1.82351822118676	-1.57260476365049	0.0123926689820859	0.00149647602333035	0.00307858305107365
ENSOARG00000001401	101104737	EXD3	exonuclease 3'-5' domain containing 3	1.31482534256468	1.07987602794619	1.01798034518903	0.00331671626748475	0.0161239825905404	0.0253969002280386
ENSOARG00000001419	101102581	TPX2	TPX2, microtubule nucleation factor	1.16232091760553	1.00863343715624	1.360261870115	0.0127844396245943	0.040726918696737	0.00400843455562063
ENSOARG00000001436	101120518	TMEM190	transmembrane protein 190	-3.20798310692311	-2.19010473869284	-2.87362004153047	0.000282497019286474	0.00523116976530165	0.000580705020413035
ENSOARG00000001442	101118138	EVL	Enah/Vasp-like	0.978604822012752	1.03513453515321	0.966001357403331	0.0201378809914652	0.0134344093155894	0.0220700146346561
ENSOARG00000001454				-0.913159619740785	-0.906224345164137	-0.934225872393173	0.0323064478997966	0.038503246616302	0.0257564719389918
ENSOARG00000001463	101103337	BMI1	BMI1 proto-oncogene, polycomb ring finger	-1.4186961573039	-1.15076931959442	-1.32551969416304	0.0061954037626227	0.0315193448224771	0.0102790348440644
ENSOARG00000001464	101103699	CXorf38	chromosome X open reading frame, human CXorf38	3.25799473174371	2.83460054942364	3.41887802571423	0.00155257048514929	0.00413253776052874	0.00123236259683508
ENSOARG00000001471				-3.38713687751488	-2.75280803330347	-3.49900755605104	2.93980087347577e-05	0.000166134484682093	3.14824101551305e-05
ENSOARG00000001472	497117	UROD	uroporphyrinogen decarboxylase	1.30632817809369	0.957566384235609	1.02636931831524	0.00208813327383765	0.0322163597751427	0.0162133486724759
ENSOARG00000001504	100329218	SREBF1	sterol regulatory element binding transcription factor 1	-1.15037030523815	-1.09828235253725	-1.02200705206519	0.0196539049198858	0.0319444707669568	0.0437223481946983
ENSOARG00000001505	101101994	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	-1.38054450225474	-1.17727942075386	-1.34963749771452	0.00273518186350473	0.012634639745828	0.0031434522529096
ENSOARG00000001508	443512	COL1A2	collagen type I alpha 2 chain	1.07015780612019	0.909800169577519	1.06536950769212	0.00407559135909302	0.0237759657064991	0.00408522693119177
ENSOARG00000001509	101107503	ARHGAP4	Rho GTPase activating protein 4	4.11597666481608	3.12695943188339	3.98999552562591	0.00275124872181556	0.00936057639639177	0.00346389716344002
ENSOARG00000001513	101120678	SLC26A11	solute carrier family 26 member 11	3.50388498333079	1.9550433557284	2.88306405962102	5.24397709827644e-05	0.00190188204912871	0.000177001258506816
ENSOARG00000001518	101110616	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	1.75046537145083	1.93207690538567	1.6729679632596	0.000337599103956524	0.000177604023481899	0.000502475666913465
ENSOARG00000001519	101114398	TRIM38	tripartite motif containing 38	2.03548698633755	2.81593618511488	1.82938051417883	0.00763471970692384	0.00129079720052537	0.0137806431819738
ENSOARG00000001523	101104987	PHC1	polyhomeotic homolog 1	-1.4105758180126	-1.64539029434886	-1.12412503046264	0.00106701738145204	0.000347208649388889	0.00838747157466022
ENSOARG00000001539	101115479	CADM1	cell adhesion molecule 1	1.20136491942917	0.860365233045335	0.969437127703006	0.0011428487432672	0.0384783659088417	0.0102894665902632
ENSOARG00000001540	101119804	LOC101119804	SH3 domain-binding glutamic acid-rich-like protein 3	1.93459181150528	1.7238372071251	1.81504664809557	0.000207779278794228	0.000558922014605392	0.000351106391813792
