ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.A10.vs.Ctrl.micro.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.p.value	LPS100.A10.vs.Ctrl.micro.p.value
ENSOARG00000000675	101113941	ARFGEF3	ARFGEF family member 3	2.83451595937928	1.86542348247179	8.75011437941103e-05	0.00272672231103321
ENSOARG00000000685	101114825	B4GALT2	beta-1,4-galactosyltransferase 2	-0.858838091156566	-0.864145605116465	0.0115933572166623	0.00159111311874574
ENSOARG00000000772	101110367	PLCD1	phospholipase C delta 1	-1.90154844304441	-2.26684330463979	1.23185940570443e-05	5.76127308942832e-06
ENSOARG00000000809	443419	STAT5A	signal transducer and activator of transcription 5A	1.93074280181458	3.32986307172537	0.00105811854781754	5.31635894967086e-06
ENSOARG00000000862	101118632		myeloid associated differentiation marker	-1.89822677713914	-1.86758121919458	5.89069673634028e-05	0.000257930426966358
ENSOARG00000000869	101104881	LMTK2	lemur tyrosine kinase 2	1.22454533883178	1.83152804069703	0.00722060042624794	0.000321708503779853
ENSOARG00000000894	101104434	NFYA	nuclear transcription factor Y subunit alpha	1.08842854043129	1.04325478702762	0.00213207718480381	0.00211156169566807
ENSOARG00000000915	101106749	ADGRB2	adhesion G protein-coupled receptor B2	-1.21238180397708	-0.736347988486898	0.00220710865493205	0.0460090618906084
ENSOARG00000000917	105606097	LOC105606097	armadillo repeat protein deleted in velo-cardio-facial syndrome	-1.17294485294279	-2.17631433806349	0.0178753613987099	3.14101496831669e-05
ENSOARG00000000918	101113838	TFPI2	tissue factor pathway inhibitor 2	2.31393448556652	6.10586989212476	0.000208034761062604	2.39962354189902e-06
ENSOARG00000000942	101120424	RNF213	ring finger protein 213	1.37506240851495	1.75806049684884	0.0100486448064952	0.00110843052337602
ENSOARG00000000944	101114640	TRIM21	tripartite motif containing 21	1.03299846401425	0.717289963984989	0.0310564587845451	0.019465628742174
ENSOARG00000000971	101106986	ANKRD12	ankyrin repeat domain 12	1.12531963473186	1.74970523050144	0.0390008064537949	0.000787988861407829
ENSOARG00000000982	101108179	MFSD13A	major facilitator superfamily domain containing 13A	-1.42407669945958	-0.942447258968699	0.00096487131484143	0.000418930149291982
ENSOARG00000001022	101103214	CSTF2	cleavage stimulation factor subunit 2	1.20836735183996	0.898608275609275	0.00130380106791404	0.000749467077527122
ENSOARG00000001078	101103463	LOC101103463	TNF receptor-associated factor 2-like	1.5613193594663	2.41286395959264	0.00266987918043034	0.000549094878261441
ENSOARG00000001082	101108063	KRBA2	KRAB-A domain containing 2	-1.20318712003509	-0.798991952988196	0.0277744755678392	0.0330372346786675
ENSOARG00000001108		CCDC106	coiled-coil domain containing 106	-1.29549791594651	-1.05788043440397	0.0077400066113694	0.00366169691963636
ENSOARG00000001138	101103321		HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	3.45953360880255	4.69691622050769	0.000434237265148452	0.000158175018412344
ENSOARG00000001149				3.50922639504966	3.4862246821025	0.0057626118020626	0.00113186439440685
ENSOARG00000001151	101115125	TMEM150C	transmembrane protein 150C	1.52070954488035	2.44750401312722	0.00718642764439714	0.00253755262461927
ENSOARG00000001154	101117881	EML1	echinoderm microtubule associated protein like 1	-1.16423022638364	-2.02246597382089	0.00332302741803537	0.00144202890732239
ENSOARG00000001160	101105821	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	-1.41861156365471	-1.82336182806641	0.00234263015662641	2.88156001618086e-05
ENSOARG00000001187	101113656	ITGA6	integrin subunit alpha 6	-1.33567465192017	-2.45565389393135	0.000412135944501803	0.00037221571962517
ENSOARG00000001243	101104195	RAB31	RAB31, member RAS oncogene family	-0.97007765182113	-1.38280332471803	0.00458659730070372	0.000215166162829778
ENSOARG00000001260	101122459	CSNK2A2	casein kinase 2 alpha 2	0.808203197815818	0.621865550628909	0.045857147253209	0.0161674039433653
ENSOARG00000001274	101120511	CDC25B	cell division cycle 25B	-1.88094135460414	-3.05853799806457	2.26855947622221e-05	4.99995623675984e-06
ENSOARG00000001275	101112710	CRIP2	cysteine rich protein 2	-1.06351214124562	-0.941289843019044	0.00666438874967244	0.00165227164520885
ENSOARG00000001290	101118094	PEX13	peroxisomal biogenesis factor 13	0.911020114455071	0.758645098525187	0.0297883617089845	0.0227167901159251
ENSOARG00000001337	445468	CAV1	caveolin 1	-2.31786857934576	-2.25186027946102	3.21012055966264e-07	0.00138662622537486
ENSOARG00000001369	101120352	UBE2S	ubiquitin conjugating enzyme E2 S	1.01289797551045	2.56276230784867	0.0291387453825143	6.86773448940321e-05
ENSOARG00000001371	101118320	DHCR7	7-dehydrocholesterol reductase	-1.58909420407086	-1.45778763769838	0.000148084541615989	0.00178895946777821
ENSOARG00000001374	443167	HCRTR1	hypocretin receptor 1	-1.40570706862916	-1.75529511927191	4.57106148771252e-05	2.10660877328074e-05
ENSOARG00000001389				2.9932814577468	2.03705621352743	8.27232378274969e-05	0.000784773841905863
ENSOARG00000001406	101103086		DNA topoisomerase I	1.36782969038083	0.686063814428752	0.000167900959850288	0.0471653575018452
ENSOARG00000001444	101109081	LOC101109081	septin-5	-1.42113697591124	-1.04506112523201	0.00152156058744832	0.0113449953892283
ENSOARG00000001456	101120570	GFPT2	glutamine-fructose-6-phosphate transaminase 2	2.69414882627439	1.40010683682438	1.27648901794719e-05	0.0204658241617968
ENSOARG00000001457	101118600	REL	REL proto-oncogene, NF-kB subunit	3.54938891784259	3.56812040021201	3.48907381915659e-05	3.34953901026717e-06
ENSOARG00000001468	101116201	MAPK8	mitogen-activated protein kinase 8	0.986927779244169	1.31962853220003	0.00472319994817683	0.00304561155356863
ENSOARG00000001504	100329218	SREBF1	sterol regulatory element binding transcription factor 1	-1.55914005865329	-2.14236197810321	0.000523618844951384	4.59008410001438e-06
ENSOARG00000001509	101107503	ARHGAP4	Rho GTPase activating protein 4	-2.51362210090693	-2.42015325885215	0.000703897926332164	3.34953901026717e-06
ENSOARG00000001516	101119448	SERINC2	serine incorporator 2	-1.08808937299321	-1.4270737801617	0.00718642764439714	2.86878657079393e-05
ENSOARG00000001521	101105235		TNF receptor associated factor 2	1.80955333752422	2.16236847970169	3.86835409332823e-05	8.27254739829211e-05
ENSOARG00000001527	101107695	POT1	protection of telomeres 1	-0.962247476793463	-0.971143895968944	0.0325386629269084	0.000989276144861268
ENSOARG00000001538		EDF1	endothelial differentiation related factor 1	1.14677731672025	1.14806287683598	0.00049018973219717	0.0033559470903078
ENSOARG00000001557	101121821	MEFV	MEFV, pyrin innate immunity regulator	5.18000384244742	6.07557971874118	9.60450466848802e-05	9.81789237314679e-06
ENSOARG00000001560	101116628	ARHGAP22	Rho GTPase activating protein 22	-1.87970898434429	-2.31008044841617	0.00440795246591556	2.83010569103146e-05
ENSOARG00000001574	100620047	BTG2	BTG anti-proliferation factor 2	1.73494810128069	1.4237475525521	6.73076307718203e-05	0.00419217543616838
ENSOARG00000001584	101107240	DENND4B	DENN domain containing 4B	-0.993962876250615	-1.52154044815088	0.0166010150715512	0.000211251233758919
ENSOARG00000001588	101108292	LOC101108292	guanylate-binding protein 2-like	2.47585708821301	4.75633839649682	0.0225658301911851	0.000240596619666135
ENSOARG00000001590	101112660	RAI1	retinoic acid induced 1	-1.09136778828657	-1.0112495017563	0.00952951172518013	0.00754878480982491
ENSOARG00000001617	101108844	MYH10	myosin heavy chain 10	-1.31858385577495	-1.36724095744005	0.00154442894601751	0.0107981754381211
ENSOARG00000001620	101105725	BTK	Bruton tyrosine kinase	-1.72044820173553	-1.7110698151885	0.00233483988015672	1.29304446037347e-05
ENSOARG00000001650	101116939	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	-2.66247885803882	-2.43676082328072	0.000868332174531655	6.64914509341618e-05
ENSOARG00000001659	101117047	WDFY4	WDFY family member 4	-2.10201539723367	-1.75298188875175	0.000808996890186774	4.43031072541213e-05
ENSOARG00000001661	101111334	LOC101111334	uncharacterized LOC101111334	1.7576071948224	1.58760644524392	0.0130604949869641	0.00563324408797865
ENSOARG00000001680	100302355	SFRP2	secreted frizzled related protein 2	2.21248191498978	1.55164426600953	0.0446361929590163	0.000999906341584177
ENSOARG00000001700	101103341	PLCG1	phospholipase C gamma 1	-1.27942432333406	-1.52866629650007	0.0014260951999209	0.00383697081514154
ENSOARG00000001703	101105770	SLC38A7	solute carrier family 38 member 7	-1.16774422257531	-1.20845481708856	0.00235405279946283	0.0242650095592819
ENSOARG00000001722	101108912	GNPDA1	glucosamine-6-phosphate deaminase 1	-0.973718238495079	-1.38908443159544	0.00530844792692571	0.000681409644640048
ENSOARG00000001735	101121442	HSPA12B	heat shock protein family A (Hsp70) member 12B	-1.43427186177302	-1.30903385412796	0.00161468036275072	0.00254382547369908
ENSOARG00000001747	101121184	SGSH	N-sulfoglucosamine sulfohydrolase	-1.2817644931671	-2.11953506794478	0.000995290023793589	1.36072044342582e-05
ENSOARG00000001749	101119399	PLAGL1	PLAG1 like zinc finger 1	0.956255361548313	1.87961982981783	0.0137936630503258	0.000945774460639558
ENSOARG00000001754	101108043	MDFIC	MyoD family inhibitor domain containing	1.22101422169647	2.60506950893423	0.0103647755383291	6.12824003277755e-06
ENSOARG00000001774	101106702	LOC101106702	plasma membrane calcium-transporting ATPase 4-like	-1.18647931860973	-1.04417977098488	0.0102564386365151	0.00745478111489113
ENSOARG00000001786	101119909	STX11	syntaxin 11	1.73491585868289	2.88821170504201	0.0023763956708201	0.000105564641408672
ENSOARG00000001794		PGAP2	post-GPI attachment to proteins 2	-0.967899632411923	-1.21448581079945	0.020483276747117	0.000115177193615609
ENSOARG00000001796	101108494	JDP2	Jun dimerization protein 2	-1.46216656035128	-0.859855059624205	0.00535006797618984	0.0030371401078025
ENSOARG00000001800	101107769	NKAIN1	sodium/potassium transporting ATPase interacting 1	-1.19047094653516	-1.45233152364513	0.0023763956708201	0.000475255735948323
ENSOARG00000001815				2.1452124504389	2.52014686091584	0.0141244895721187	0.00100515518824986
ENSOARG00000001822	101109054	SFXN2	sideroflexin 2	-1.28893960720433	-1.1073381901867	0.0134810823437601	0.00682362846841622
ENSOARG00000001833	101118394	PANX1	pannexin 1	1.48430025131462	1.40047139275603	0.000301236468258713	0.0381501481747063
ENSOARG00000001836		CAVIN1	caveolae associated protein 1	-0.920760304412746	-1.2923897182854	0.00658249091002775	8.3089050625863e-05
ENSOARG00000001863	101116049	SEMA6A	semaphorin 6A	2.96519944432482	3.68350894682679	2.43814514262666e-07	0.000170096412624843
ENSOARG00000001865	101123061	RIN2	Ras and Rab interactor 2	-1.64398114177054	-1.63188815431389	0.0046002964904478	0.000475255735948323
ENSOARG00000001866	101113423		5',3'-nucleotidase, mitochondrial	-1.21926200952651	-1.20082239686	0.00202252414316923	0.00251753959830583
ENSOARG00000001875	101120931	CARD14	caspase recruitment domain family member 14	-1.28903285234855	-2.02047481929799	0.0314931131501988	5.77888133443724e-05
ENSOARG00000001911	101111597	CCDC17	coiled-coil domain containing 17	-1.26110174006835	-1.13768950379798	0.00138844111206377	0.000523018922954899
ENSOARG00000001930		PTPN2	protein tyrosine phosphatase, non-receptor type 2	0.991383581762848	1.15548313242556	0.00250417208800118	0.000557119460021591
ENSOARG00000001965	101119091	CARS	cysteinyl-tRNA synthetase	0.809270073828187	1.71692842998948	0.0235302812483209	0.000440875707393353
ENSOARG00000001970	101120415	FBXO30	F-box protein 30	1.35143350054252	1.89891385223228	0.00057114928577449	0.00106783561411873
ENSOARG00000002000	101111794	BMT2	base methyltransferase of 25S rRNA 2 homolog	1.62837707131892	1.95346768655853	0.00737658477293839	0.00744395681386192
ENSOARG00000002009	101121322	SDC3	syndecan 3	-1.00836388595244	-1.26225156276475	0.00694051162355584	0.00516211642074477
ENSOARG00000002035	101123073	WARS	tryptophanyl-tRNA synthetase	2.6460999672758	2.46159751782967	0.00336527980769657	0.000319886671394141
ENSOARG00000002086	101116715	LOC101116715	PDZ and LIM domain protein 2-like	-1.52464300115098	-1.5059799185291	0.00457998985530871	0.000634813796381196
ENSOARG00000002178				-1.10059456433635	-1.68950143850525	0.00895852994905089	0.00125396455509416
ENSOARG00000002198	443064	IL12A	interleukin 12A	5.00013448261543	7.25617427350723	0.00049130379396156	2.26545651810405e-05
ENSOARG00000002241	101112518	CSRNP1	cysteine and serine rich nuclear protein 1	2.46197916915038	3.07971286401489	4.25342112510691e-06	4.38190849295918e-05
ENSOARG00000002262				-1.16159678155405	-1.11839981779947	0.000444041443591162	0.00233362096628771
ENSOARG00000002269	101109807	IRF2BPL	interferon regulatory factor 2 binding protein like	-1.11933598540134	-1.80337003394776	0.00791598988365996	4.37409602557893e-05
ENSOARG00000002311	101110712	SERPINB1	serpin family B member 1	1.26637868578802	0.964889795568173	0.00525393296326749	0.00811672538563019
ENSOARG00000002322	101109048	TFEB	transcription factor EB	-2.11373678599909	-0.611319127295338	0.000392247522443958	0.0179533092854151
ENSOARG00000002326	101113774	WSCD1	WSC domain containing 1	-1.29157858506608	-1.53704434059022	0.00182073527900269	0.000591906803950303
ENSOARG00000002352	101106797	SUDS3	SDS3 homolog, SIN3A corepressor complex component	1.09831820082803	1.28535697828604	0.0178753613987099	0.000462949142917703
ENSOARG00000002366		RXRA	retinoid X receptor alpha	-2.01327675712868	-2.29308842060398	3.89711424049705e-05	8.6306771217709e-05
ENSOARG00000002372				2.43136305689455	4.24775451760964	0.0231072216015127	5.09817314012876e-05
ENSOARG00000002432		SIGLEC15	sialic acid binding Ig like lectin 15	-1.37092971812522	-0.779870868143064	0.00849987767872858	0.00218395349477695
ENSOARG00000002462	101117217	GPAT4	glycerol-3-phosphate acyltransferase 4	0.831770074610834	1.07689098454923	0.0485254380809032	0.00159111311874574
ENSOARG00000002463	101108098	LXN	latexin	-1.79745125405557	-3.01127755004932	0.0218440365938945	1.665562037059e-06
ENSOARG00000002464				-1.54874080888559	-1.2773414919891	0.017466586297488	0.0033559470903078
ENSOARG00000002476	101107650	RGS10	regulator of G protein signaling 10	-0.849829330526474	-1.2824522858714	0.023106684321114	0.00127154103345844
ENSOARG00000002477	101106367	NEIL1	nei like DNA glycosylase 1	-1.308930001538	-1.79212587970005	0.0144719576430635	0.000149488914065828
ENSOARG00000002479	101109983	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5	2.04823432409771	4.24824919331212	0.00700164556627426	6.32963357735131e-06
ENSOARG00000002516	101104478	CLEC4A	C-type lectin domain family 4 member A	-1.86662383673172	-1.30139051835786	0.00337449451493043	0.00521621180227842
ENSOARG00000002524	101108505	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	1.05499881627737	0.898383206519756	0.00161468036275072	0.0433048119032808
ENSOARG00000002530	101115060	ANKRD49	ankyrin repeat domain 49	0.90602948609238	1.17502630126209	0.0346341943446884	0.000216894113133048
ENSOARG00000002538	101110689	TBC1D16	TBC1 domain family member 16	-1.28878036001677	-1.19793881447678	0.00405629255703976	0.000417108223708131
ENSOARG00000002541	101115498	AS3MT	arsenite methyltransferase	-1.04383300934088	-0.862282634314538	0.0364155085704845	0.00532664398786507
ENSOARG00000002545	101122082	EPB41	erythrocyte membrane protein band 4.1	-1.02323196921251	-1.50730608847984	0.0365973653293203	0.00109634389705243
ENSOARG00000002562	101103369	IL6R	interleukin 6 receptor	-1.08603042148391	-1.23552100763242	0.0451754320817623	0.011798910111161
ENSOARG00000002569				1.95579563390357	0.899466347319222	0.000118989752809966	0.0191301515867743
ENSOARG00000002578	101122114	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	1.22861825621304	1.51102389421691	0.000481209494348842	0.00252915902560776
ENSOARG00000002605				-1.97320347286547	-0.815406330967966	0.00251351880400612	0.0346467135898822
ENSOARG00000002612	101122959	MAP2K3	mitogen-activated protein kinase kinase 3	0.788564684828439	1.48520603672409	0.0364005347602923	0.000660604233462679
ENSOARG00000002622	101114218	EIF1B	eukaryotic translation initiation factor 1B	0.849623026174273	0.933533775349322	0.0316751374314515	0.00478713611876667
ENSOARG00000002640	101114035	NLRP1	NLR family pyrin domain containing 1	-4.27978905971325	-3.60167668212533	5.53986846023773e-05	2.53079706714218e-06
ENSOARG00000002644	101105773		leukocyte receptor cluster member 9	-1.2119288578821	-0.924389944634155	0.0236501282791013	0.0110787708456242
ENSOARG00000002658	101106884	C15orf39	chromosome 18 open reading frame, human C15orf39	-2.34764448858968	-3.27006253450405	0.000882209376571299	2.18878680691509e-05
ENSOARG00000002680	101107918	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1	0.796209453695397	0.628296355277412	0.0382600132745685	0.0150216012400877
ENSOARG00000002682		NTN1	netrin 1	1.00202787754713	3.3111025253816	0.0493816381520184	0.000793236536296965
ENSOARG00000002688	101121569	ANK1	ankyrin 1	-1.31651776843436	-1.09561570606314	0.00493017501903833	0.00144473621552078
ENSOARG00000002701	101117231		sialic acid-binding Ig-like lectin 5	-1.11429642496193	-0.683544181241474	0.0466055919139992	0.00564730004628935
ENSOARG00000002720	101110137	VAV2	vav guanine nucleotide exchange factor 2	-1.29789257762344	-1.18512205382203	0.00145493223318009	0.000946488431958669
ENSOARG00000002737	101105481		guanylate-binding protein 1-like	2.14351650771098	3.82384985282726	0.0124414913450062	3.8824937755658e-05
ENSOARG00000002754	100034672	PTX3	pentraxin 3	5.47746222458487	6.87312786434533	9.98387891056311e-06	1.55573223444481e-06
ENSOARG00000002783	101112914	MDM4	MDM4, p53 regulator	1.48643547011757	2.64241197584183	0.00493472544920849	1.02499196105212e-05
ENSOARG00000002785	101105016	KIAA1217	KIAA1217 ortholog	-0.806421008257461	-2.29882926579807	0.0279284501923894	0.000356767278479348
ENSOARG00000002799	101115273	IRAK3	interleukin 1 receptor associated kinase 3	1.43016967563696	1.66699393519473	0.000868332174531655	5.80999736942891e-05
ENSOARG00000002820	101113167	HCK	HCK proto-oncogene, Src family tyrosine kinase	-2.74862547372624	-1.30599758049798	7.89933956397253e-06	0.000879528489796478
ENSOARG00000002848	101111304	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3	-1.98612584639773	-1.04716063665579	0.000103921067484559	0.0062237298053095
ENSOARG00000002866	101120631	RASSF4	Ras association domain family member 4	1.39344860062086	0.807947962072575	0.00437778955182611	0.00842753931024862
ENSOARG00000002881				1.96677451286618	2.51858749330419	0.00585396719077448	0.000552631823970929
ENSOARG00000002923	101110289	TIPARP	TCDD inducible poly(ADP-ribose) polymerase	1.01880020570479	0.974763886073942	0.00861046726992599	0.0293469285487794
ENSOARG00000002946	101106823	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	-1.41618113897546	-0.906742531141193	0.0447711605218658	0.021961532430309
ENSOARG00000002952	101104366	ADAR	adenosine deaminase, RNA specific	1.20364133020148	1.07825463201206	0.00352596450924118	0.0343455491029711
ENSOARG00000002972	101108247	ZDHHC1	zinc finger DHHC-type containing 1	-0.899666071948073	-1.00654097819472	0.0322725800575919	0.00225535529892338
ENSOARG00000002982	101111432	LOC101111432	plasma membrane calcium-transporting ATPase 4-like	-1.27915538207582	-1.83670727421122	0.00343817436668752	0.00219411300168284
ENSOARG00000003008	101110659	SESN2	sestrin 2	1.24454000490699	2.46989437434829	0.00799137170191514	0.00258019563439677
ENSOARG00000003028	101104011	DOCK2	dedicator of cytokinesis 2	-0.990857182782948	-1.12571475838792	0.00464067706891009	0.00401307484424704
ENSOARG00000003056	101113026	PMVK	phosphomevalonate kinase	-0.998883799073436	-1.15536183581095	0.0421026546285791	0.00298619974553693
ENSOARG00000003068	101117013	LOC101117013	caspase-1-like	1.29255925334934	2.32101167686441	0.00332465459009147	2.83010569103146e-05
ENSOARG00000003069	101112104	C18orf25	chromosome 23 open reading frame, human C18orf25	1.01408520101547	1.22500529461046	0.0040943434737972	0.000339573954713558
ENSOARG00000003099	101122784	RASAL3	RAS protein activator like 3	-2.17502010250992	-1.65120273898051	0.00524797119773142	0.000411088132039665
ENSOARG00000003112		AKAP12	A-kinase anchoring protein 12	-1.50366217718412	-1.75932360062993	0.000507896683484992	0.00267931877400273
ENSOARG00000003124	101122247	APOBR	apolipoprotein B receptor	0.93646569655038	2.0089324989208	0.0407202892007279	0.000426227788492699
ENSOARG00000003148		ZBTB2	zinc finger and BTB domain containing 2	-1.3380142274097	-1.10565498387146	0.00114990189699881	0.0134796864699462
ENSOARG00000003178		C1orf198	chromosome 1 open reading frame 198	-0.981333127602903	-1.44438812264078	0.0201258670990733	0.0116942415956515
ENSOARG00000003180	101122495	IL27	interleukin 27	4.96348330443904	7.19439212439017	2.43814514262666e-07	2.39962354189902e-06
ENSOARG00000003187	101102529		coronin-7	-1.14760536470649	-1.24826825386243	0.000455419106194081	5.97632352611216e-05
ENSOARG00000003207		XKR8	XK related 8	1.418378014721	2.9004461535453	0.000719365814832353	1.70099219549713e-05
ENSOARG00000003209	101113584	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	-1.1149832590122	-0.55020111884783	0.00804530377619033	0.0302407548936144
ENSOARG00000003219	101103746	PLAGL2	PLAG1 like zinc finger 2	0.996139596345675	2.04729748264004	0.029341314192315	0.000807454790752684
ENSOARG00000003228	101111705	SLC2A6	solute carrier family 2 member 6	1.14932006456793	3.13673649831249	0.0070084515112707	1.54374518608972e-05
ENSOARG00000003244	101112476	CCDC136	coiled-coil domain containing 136	-1.34869539472712	-1.12360649502142	0.000323921730734559	0.00857319731378168
ENSOARG00000003252	101119209	HK3	hexokinase 3	-1.55988418671631	-1.77809807677431	0.00628987231362749	0.000136217631225131
ENSOARG00000003263	101122713	FAM129A	family with sequence similarity 129 member A	2.13280793633662	3.50421079674479	0.000258317022081004	7.98718696775455e-06
ENSOARG00000003290	101118472	RNF121	ring finger protein 121	1.09292968089495	0.962969089352343	0.0163548292330234	0.0019812261025675
ENSOARG00000003314	101122327	POLB	DNA polymerase beta	2.17726663701122	2.89367868483234	2.64186557912156e-05	1.92376639199247e-05
ENSOARG00000003317	101116683	CCK	cholecystokinin	2.40905889326997	0.923547870700298	0.00236185791396292	0.0463991343646294
ENSOARG00000003333	101114915	ZBTB7B	zinc finger and BTB domain containing 7B	-1.25458092683666	-1.34363514330178	0.000371456316252692	0.000513763354994307
ENSOARG00000003340				1.65443344301559	3.07690390583799	0.0126799315452032	1.98734607464389e-05
ENSOARG00000003343	101114448	TTC8	tetratricopeptide repeat domain 8	-1.25570800481016	-1.3155982289378	0.000984698955052492	0.000161913811940304
ENSOARG00000003352	100217409	NFIL3	nuclear factor, interleukin 3 regulated	1.62497530645581	2.65587196134983	4.57106148771252e-05	7.06828819065127e-05
ENSOARG00000003353	101113409	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-2.53976970320181	-1.96062496979704	0.00430690336144084	0.000126527267049631
ENSOARG00000003394	101112709	AHDC1	AT-hook DNA binding motif containing 1	-1.37262062673123	-1.06812092673228	0.000984698955052492	0.0127878066171396
ENSOARG00000003424	101108572	KIAA1211	KIAA1211 ortholog	-1.24456048466062	-1.61191442041463	0.00780078980181853	0.0022296541676366
ENSOARG00000003434	101116202	TARBP1	TAR (HIV-1) RNA binding protein 1	-0.967023895178469	-1.02051947142084	0.0225650361471797	0.000681409644640048
