ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000003201	101120442	KREMEN1	kringle containing transmembrane protein 1	-1.06017881485757	0.0182274627495204
ENSOARG00000003355	101104880	DCST2	DC-STAMP domain containing 2	-1.5410673624974	0.00980906689926821
ENSOARG00000003396	101106951	RAB34	RAB34, member RAS oncogene family	-0.850091466563938	0.0265732956512863
ENSOARG00000003401	101115679	KCNK1	potassium two pore domain channel subfamily K member 1	0.944831940217924	0.0233206789988904
ENSOARG00000003421	101120750	LAP3	leucine aminopeptidase 3	1.04776529165514	0.0107459553448327
ENSOARG00000003452	101105172	RAMP2	receptor activity modifying protein 2	-1.38502662744111	0.00151177248776758
ENSOARG00000003602				1.04479923674163	0.00247102215516887
ENSOARG00000003764	101114511	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	-0.965651195334064	0.0112220423635737
ENSOARG00000003828	101119904	ARHGAP24	Rho GTPase activating protein 24	-1.09671654099363	0.00239817261170637
ENSOARG00000003880	101113950	NOL4L	nucleolar protein 4 like	-1.15620746426424	0.0239348923068055
ENSOARG00000004062	101122822	RAB38	RAB38, member RAS oncogene family	-1.17930721214718	0.00798628600403458
ENSOARG00000004219	101117068	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	-1.14862063900155	0.0161217030892501
ENSOARG00000004446	101103823	TOB1	transducer of ERBB2, 1	1.26918366408964	0.000851781936988593
ENSOARG00000004667	100135440	RPL6	60S ribosomal protein L6	-1.47630313743077	0.0186725393137533
ENSOARG00000004764	101113261	IL34	interleukin 34	-2.78837115113298	5.4822390632984e-05
ENSOARG00000004896	101103681	SYTL2	synaptotagmin like 2	-1.44899581180378	6.45558342561163e-05
ENSOARG00000004992		LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-1.48415003467336	0.000537343645123744
ENSOARG00000005003	101108594	IGFLR1	IGF like family receptor 1	-1.0270849849636	0.0352385939727209
ENSOARG00000005188	101116509	MAP1B	microtubule associated protein 1B	-1.68513876327748	0.000622295093602224
ENSOARG00000005246	101108668	SAMD14	sterile alpha motif domain containing 14	-1.23284837144672	0.00206975727591701
ENSOARG00000005446	101110450	NAIP	NLR family apoptosis inhibitory protein	-1.9331035502164	0.000458244012342907
ENSOARG00000005499				0.966320133768059	0.0421029393058351
ENSOARG00000005511				-1.91924251040636	0.0113780769072692
ENSOARG00000005516		TUBB4A	tubulin beta 4A class IVa	-1.09189481716956	0.0435934072494124
ENSOARG00000005574	101110698	KCNK6	potassium two pore domain channel subfamily K member 6	-1.52889377176347	0.00259640419529012
ENSOARG00000005579	101123594	SEMA4A	semaphorin 4A	-2.38765867578516	0.00127361920982178
ENSOARG00000005650	101104295	ARHGEF10	Rho guanine nucleotide exchange factor 10	-0.93728442588945	0.0119358349610722
ENSOARG00000005712				-1.05597779680221	0.0295126760713719
ENSOARG00000005749	101106290	RAB23	RAB23, member RAS oncogene family	-0.943609154801949	0.0322681446864545
ENSOARG00000005785	101115289	MYO16	myosin XVI	-0.88724279881332	0.0419820714075275
ENSOARG00000006003	101108447	IQGAP3	IQ motif containing GTPase activating protein 3	-1.20803194391935	0.0425979803790571
ENSOARG00000006033	101112349	FAM198B	family with sequence similarity 198 member B	-1.91031678360198	0.000974655478615822
ENSOARG00000006104	101117253	CGAS	cyclic GMP-AMP synthase	1.76028875498726	0.00797116534410107
ENSOARG00000006249	101110875	TBX3	T-box 3	1.48704459398364	0.00992630533504325
ENSOARG00000006487	101110021	PEAR1	platelet endothelial aggregation receptor 1	-1.28755883077564	0.000376463437717183
ENSOARG00000006514	101115892	FRMD4A	FERM domain containing 4A	-1.14751853925468	0.00225761245158136
ENSOARG00000006538	101122783	PDGFRB	platelet derived growth factor receptor beta	-1.4536700847679	0.000569869018357536
ENSOARG00000006553	101119756	SPI1	Spi-1 proto-oncogene	-1.42587706765706	7.78213746269648e-05
ENSOARG00000006591	101119898	ARHGAP9	Rho GTPase activating protein 9	-2.47246931209536	0.000246212745533184
ENSOARG00000006702	101107037		tyrosine-protein phosphatase non-receptor type 11-like	-1.17104031252348	0.0347625853556628
ENSOARG00000006729	101123429	TACC2	transforming acidic coiled-coil containing protein 2	-1.09802911604249	0.00199130841102083
ENSOARG00000006742	101120708	LRRC42	leucine rich repeat containing 42	-0.963127692071074	0.0207990464960039
ENSOARG00000006947	101120515	ITPKC	inositol-trisphosphate 3-kinase C	0.848179346638041	0.0226794707173678
ENSOARG00000007137	101118556	RRAS2	RAS related 2	1.16152200189139	0.00585815878730924
ENSOARG00000007244	101118240	ACOT11	acyl-CoA thioesterase 11	-1.51785472045542	0.00694133086865229
ENSOARG00000007280	101110876		SEC14 like lipid binding 2	-1.19503511037764	0.0083916439337
ENSOARG00000007303				1.17176482421691	0.0179041271909574
ENSOARG00000007382	101112348	SDS	serine dehydratase	2.19006177243769	7.78213746269648e-05
ENSOARG00000007398	101109874		chromodomain helicase DNA binding protein 4	-0.957200311686684	0.00326777104426423
ENSOARG00000007427	101123642		epithelial stromal interaction 1	1.4422390392101	0.017726087676556
ENSOARG00000007472	443031	CASP3	caspase 3	1.46485781860867	0.000795910502567047
ENSOARG00000007495	101111663	MTFP1	mitochondrial fission process 1	-1.56214535626136	0.000608075792592729
ENSOARG00000007704	101116432	ALS2CL	ALS2 C-terminal like	-1.11715251926395	0.0441201588501515
ENSOARG00000007924	101113652	PDLIM3	PDZ and LIM domain 3	-1.11221464211917	0.0133093765800258
ENSOARG00000008023	101108870		nuclear autoantigenic sperm protein-like	0.976256468014745	0.0365831247867256
ENSOARG00000008126	101115854	FAM149A	family with sequence similarity 149 member A	-1.0525776149344	0.00867531164965383
ENSOARG00000008163	101104773	POU2F2	POU class 2 homeobox 2	-1.94515170654039	0.00920088268829899
ENSOARG00000008281	101106938	PLPP2	phospholipid phosphatase 2	-1.11637709159521	0.0011483549035678
ENSOARG00000008317	101110425	ANKRD13B	ankyrin repeat domain 13B	-1.15560746780091	0.00256346865186085
ENSOARG00000008349		TACSTD2	tumor associated calcium signal transducer 2	1.43457675007863	0.0148072257075519
ENSOARG00000008426	101121026	KMO	kynurenine 3-monooxygenase	-1.72143034394213	0.0234694099194143
ENSOARG00000008561	101104932	UCP2	uncoupling protein 2	-1.02412751989565	0.0387459815068436
ENSOARG00000008576	101121312	VCL	vinculin	-0.954217195282955	0.0107459553448327
ENSOARG00000008614	101105772	PHLDB3	pleckstrin homology like domain family B member 3	1.09634679582074	0.0176480171306598
ENSOARG00000008628				1.32380234063009	0.00116148368596015
ENSOARG00000008650	101113198	FBP1	fructose-bisphosphatase 1	-1.51356445296476	0.00201371027349236
ENSOARG00000008659	101118671	NEB	nebulin	1.33970707073826	0.00143098996512581
ENSOARG00000008705	101121880	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	-1.49721042599578	0.00202252414316923
ENSOARG00000008716	101116316		cytoplasmic polyadenylation element binding protein 2	1.3094839677412	0.0195772301823816
ENSOARG00000008856	101106799	FBXO33	F-box protein 33	1.83396979411168	0.000247064933600831
ENSOARG00000008881	101121279	RGS7	regulator of G protein signaling 7	-1.34195102793407	0.000646799058397366
ENSOARG00000009091	101103186	SMTN	smoothelin	-1.05141114019349	0.00511042715715301
ENSOARG00000009223	101109798	PALM	paralemmin	-1.13612276224986	0.001417214079092
ENSOARG00000009431	101104604	DAB2	DAB2, clathrin adaptor protein	-0.968690900833047	0.0232648683752309
ENSOARG00000009500	101118493	SMNDC1	survival motor neuron domain containing 1	1.05485337599408	0.00256346865186085
ENSOARG00000009641		HDAC9	histone deacetylase 9	-2.46712677282844	0.000136952354357879
ENSOARG00000009735	101120439	SLC43A1	solute carrier family 43 member 1	-1.04840802623844	0.0122409591137618
ENSOARG00000009856	101118541	HEXIM2	hexamethylene bisacetamide inducible 2	-1.46673449871544	0.0168719749303076
ENSOARG00000009958	101112452	NEFM	neurofilament medium	1.19863402016454	0.0357445481791112
ENSOARG00000009983	101117101	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2.20170766899437	0.00105900505496839
ENSOARG00000009994	101113354	RTN2	reticulon 2	-1.08683689031535	0.00466974812948993
ENSOARG00000010005	443515	IGF1R	insulin like growth factor 1 receptor	-0.853402854474979	0.0407202892007279
ENSOARG00000010116	101112169	ARRDC4	arrestin domain containing 4	1.44233072055943	0.000195568896155218
ENSOARG00000010224	101106622	POLD3	DNA polymerase delta 3, accessory subunit	1.07855737672278	0.0137013666171864
ENSOARG00000010324	101116017		solute carrier family 39 member 14	1.89784302954072	0.000593527622639988
ENSOARG00000010480	101120933	CASKIN2	CASK interacting protein 2	-0.929763093277588	0.0292085599361819
ENSOARG00000011021	101109223	HEPACAM	hepatic and glial cell adhesion molecule	-1.30004766931964	0.00178433845330158
ENSOARG00000011043		ZC3HAV1	zinc finger CCCH-type containing, antiviral 1	1.04022697403317	0.0384108190270071
ENSOARG00000011150	101111302	JPT1	Jupiter microtubule associated homolog 1	1.34090930849865	0.012941799632728
ENSOARG00000011169	101104916		CCAAT/enhancer binding protein (C/EBP), delta	1.40907728518023	0.000525493304551579
ENSOARG00000011220	101102654	CDK12	cyclin dependent kinase 12	1.05695080833561	0.00248169414007889
ENSOARG00000011327		GSE1	Gse1 coiled-coil protein	-2.02381839981885	0.00859291622512955
ENSOARG00000011332	101113676	CBARP	CACN subunit beta associated regulatory protein	-1.25642536743316	0.000522832406509971
ENSOARG00000011584		F2RL1	F2R like trypsin receptor 1	-1.20253401811488	0.0352035532874893
ENSOARG00000011662		IQSEC3	IQ motif and Sec7 domain 3	-2.18154521655861	0.00106939116724916
ENSOARG00000011736	101112268	FAM8A1	family with sequence similarity 8 member A1	1.00639121816633	0.0117713989419976
ENSOARG00000012145	101114336	WAS	Wiskott-Aldrich syndrome	-1.11579120934683	0.0165173429547897
ENSOARG00000012307	101108744	LRRC25	leucine rich repeat containing 25	-1.7321413640046	0.00067214760140281
ENSOARG00000012360	101122180	ELK3	ELK3, ETS transcription factor	-1.12803569188664	0.00138844111206377
ENSOARG00000012373	101113590	ADAM19	ADAM metallopeptidase domain 19	-1.84488826695056	0.000897433376465498
ENSOARG00000012390	101102848		myosin regulatory light chain interacting protein	1.21529416678635	0.00162327062961925
ENSOARG00000012454	101102997	MYO1C	myosin IC	-1.02368217885778	0.00102134814937991
ENSOARG00000012484	101113046	PRUNE2	prune homolog 2	-1.93041894196593	0.0115933572166623
ENSOARG00000012526	101110892	SLC25A28	solute carrier family 25 member 28	1.57469501136287	0.00343765506093125
ENSOARG00000012561	101102865	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1	1.22600054095781	0.0196234483635513
ENSOARG00000012580	101119006	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	1.02413269385088	0.0158283521897117
ENSOARG00000012667	101118187	NFIC	nuclear factor I C	-1.17637184312273	0.00096487131484143
ENSOARG00000012716	101121387	LOC101121387	histone H2A type 2-A	1.34148225988888	0.00534117342504488
ENSOARG00000012805	101102701	CEMIP2	cell migration inducing hyaluronidase 2	1.48368641147755	0.000277432694222378
ENSOARG00000012857	101112629	PTPN4	protein tyrosine phosphatase, non-receptor type 4	1.41244622054277	0.0126953847916754
ENSOARG00000012866	101122148	LOC101122148	histone H2A type 2-A	1.34148225988888	0.00534117342504488
ENSOARG00000012912	101115315	MAML3	mastermind like transcriptional coactivator 3	-1.25528373583161	0.015417667207366
ENSOARG00000013013	101114245	SYN1	synapsin I	1.06210931059376	0.0278660939187774
ENSOARG00000013144	101103054	IL1R1	interleukin 1 receptor type 1	-1.39003239545765	0.00988227077051992
ENSOARG00000013149	101122398	HIST2H2BE	histone H2B type 2-E	1.12928275087407	0.00174538292358931
ENSOARG00000013159	101103308	IL1R2	interleukin 1 receptor type 2	1.25816489219342	0.014748723140103
ENSOARG00000013208	101112131	DENND2A	DENN domain containing 2A	-1.54562988725548	7.92957952285639e-05
ENSOARG00000013335	780485	IRF3	interferon regulatory factor 3	1.17298416918982	0.0456709772694702
ENSOARG00000013475		CECR2	CECR2, histone acetyl-lysine reader	-1.40979283108394	0.0396980927103972
ENSOARG00000013569	101102355		eva-1 homolog C	-1.30256465399572	0.000854369979680684
ENSOARG00000013623	101122602	PPP3CA	protein phosphatase 3 catalytic subunit alpha	-1.02215523439919	0.0223287630168913
ENSOARG00000013628	101116705	IL33	interleukin 33	-2.12621802036812	0.000122304448822042
ENSOARG00000013636	100302083	CDKN1A	cyclin dependent kinase inhibitor 1A	1.18884574320966	0.00359992877489951
ENSOARG00000013661	101108466	NEK6	NIMA related kinase 6	-0.996210657641238	0.0239465002762713
ENSOARG00000013672	101117476	GLDC	glycine decarboxylase	-1.90364934364735	3.89711424049705e-05
ENSOARG00000013742	101108898	LHX2	LIM homeobox 2	-1.31286774078131	0.00644152754813955
ENSOARG00000013840	101105856	WHAMM	WAS protein homolog associated with actin, golgi membranes and microtubules	1.09953610302747	0.0174477278579441
ENSOARG00000013917	101112636	ITPRIPL1	ITPRIP like 1	-1.00430474741695	0.0170257226307311
ENSOARG00000013952	101115929	MORC3	MORC family CW-type zinc finger 3	1.04110012074518	0.0146818942829711
ENSOARG00000014137	101119985	MAT2B	methionine adenosyltransferase 2B	1.12540929786656	0.0430410114135302
ENSOARG00000014151	101117299		ras GTPase-activating protein 4	-1.56424740323092	0.000396462172459516
ENSOARG00000014195	101118760	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	2.72554645704901	5.89069673634028e-05
ENSOARG00000014319	101113635	DDAH1	dimethylarginine dimethylaminohydrolase 1	-0.93807514078335	0.0134595937085379
ENSOARG00000014340	101119019	SLC39A10	solute carrier family 39 member 10	-0.945653783295239	0.0498671553746041
ENSOARG00000014358	101118052	PCDH18	protocadherin 18	-1.66368366866334	0.0228251629556094
ENSOARG00000014505				0.972820541199833	0.0133890230563614
ENSOARG00000014535	101119083	TRAM2	translocation associated membrane protein 2	-1.66072640877425	0.000490423447166677
ENSOARG00000014622	101123109	SOX11	SRY-box 11	1.56580015058309	0.0493816381520184
ENSOARG00000014678	101111774	C9orf72	chromosome 2 open reading frame, human C9orf72	1.17320646898281	0.00061420555906905
ENSOARG00000015097	100127211	CAPN2	calpain 2	-0.888724581616943	0.00749592693882775
ENSOARG00000015126	101119334	JADE1	jade family PHD finger 1	-1.38115280894235	0.0146818942829711
ENSOARG00000015194	497274	CRYAB	crystallin alpha B	1.07660211936735	0.0014057911043607
ENSOARG00000015298	101103057	GRHL1	grainyhead like transcription factor 1	1.31425400286512	0.0219915115234199
ENSOARG00000015391	100135448	ARNT2	Ovis aries aryl hydrocarbon receptor nuclear translocator 2 (ARNT2), mRNA.	-1.04219431679002	0.0187974781583612
ENSOARG00000015413		KDELR3	KDEL endoplasmic reticulum protein retention receptor 3	-0.970115096135365	0.00213207718480381
ENSOARG00000015468	101120768	EPB41L1	erythrocyte membrane protein band 4.1 like 1	-1.40966331265693	0.000148084541615989
ENSOARG00000015536	101116178	CEMIP	cell migration inducing hyaluronidase 1	-1.0483665739931	0.0388506670803759
ENSOARG00000015859		KCTD10	potassium channel tetramerization domain containing 10	0.998597820054855	0.0117713989419976
ENSOARG00000015971	101104452	IGSF6	immunoglobulin superfamily member 6	-1.72678865378698	0.0126799315452032
ENSOARG00000016024	101108888	LIMS2	LIM zinc finger domain containing 2	-0.834858601335104	0.0352683373740541
ENSOARG00000016098				-1.40270044858706	0.00708921528513576
ENSOARG00000016141	101108217	C7orf57	chromosome 4 open reading frame, human C7orf57	-0.949907694443284	0.0439329606314371
ENSOARG00000016181	443140	ITGA5	integrin subunit alpha 5	-0.891781837211284	0.0268492413806973
ENSOARG00000016237	101117505	PDE4A	cAMP-specific 3',5'-cyclic phosphodiesterase 4A	-1.13403458651113	0.0197414378841556
ENSOARG00000016412	443545	PDGFB	platelet derived growth factor subunit B	-1.86032025279764	0.00747680734875673
ENSOARG00000016432	101107357	ATG12	autophagy related 12	0.885190467586949	0.0139592056173819
ENSOARG00000016637	101106973	DCP1A	decapping mRNA 1A	1.00839403850651	0.0170257226307311
ENSOARG00000016642	101109956	ITGB7	integrin subunit beta 7	-1.60115862191519	0.00392136224104206
ENSOARG00000016727	443075	HGF	hepatocyte growth factor	-1.36259560676132	0.0359625752849456
ENSOARG00000016736	101117733	DUSP19	dual specificity phosphatase 19	1.37591472738704	0.0310265163669347
ENSOARG00000016798	101113463	SAT1	spermidine/spermine N1-acetyltransferase 1	1.32470718194213	0.000423066704319003
ENSOARG00000016854		CREM	cAMP responsive element modulator	1.19399989924283	0.0166349777425708
ENSOARG00000016860	101118098	POLM	DNA polymerase mu	-1.23943527141199	0.0393688926738597
ENSOARG00000016912	101111643	SLC16A3	solute carrier family 16 member 3	-1.46164354931889	0.00224917567189915
ENSOARG00000016935	101106808	BCAR3	BCAR3, NSP family adaptor protein	-1.06388493524968	0.0178686591720538
ENSOARG00000016996	101113978	OGA	O-GlcNAcase	1.20169338899923	0.00841195492191802
ENSOARG00000017242	101114095	ACVRL1	activin A receptor like type 1	-2.61346589770852	0.00484789553884454
ENSOARG00000017253	101113483	ANKRD33	ankyrin repeat domain 33	-1.40575334709845	0.0262079325152083
ENSOARG00000017319	101118908	SNRNP48	small nuclear ribonucleoprotein U11/U12 subunit 48	0.848726145705339	0.0487283526034056
ENSOARG00000017358		PMEPA1	prostate transmembrane protein, androgen induced 1	-1.18762236306254	0.036081864960143
ENSOARG00000017443	101114358	PDLIM5	PDZ and LIM domain 5	-1.10950751317057	0.00565569224195032
ENSOARG00000017521	101118185	HBEGF	heparin binding EGF like growth factor	1.39097233570965	0.000577229398890861
ENSOARG00000017573	101118361	GPR65	G protein-coupled receptor 65	-1.19394059014582	0.0419820714075275
ENSOARG00000017583	101113875	SALL1	spalt like transcription factor 1	-1.4284232448613	0.000832569142932472
ENSOARG00000017639	443535	LDLR	low density lipoprotein receptor	-0.93245642874113	0.04421218482818
ENSOARG00000017649	101110594	CCNG2	cyclin G2	1.2652278165088	0.011613196290817
ENSOARG00000017761	101122196	VCPIP1	valosin containing protein interacting protein 1	1.11703656819925	0.0291067578316915
ENSOARG00000017913	101111715	IGDCC4	immunoglobulin superfamily DCC subclass member 4	-1.17092711938189	0.0281757127619199
ENSOARG00000018341	101117184	MT1X	metallothionein-1A	1.82731236168099	0.0153256861452052
ENSOARG00000018391	101110605		GRB2 related adaptor protein	-1.6090166618514	0.00178150502650254
ENSOARG00000018517	101105413	CORO2B	coronin 2B	1.07085200232598	0.0107459553448327
ENSOARG00000018536	101117180	FERMT1	fermitin family member 1	1.5115735288975	0.00274866353571892
ENSOARG00000018681		CAVIN3	caveolae associated protein 3	-1.25112598905122	0.000434237265148452
ENSOARG00000018838		KLF7	Kruppel like factor 7	-1.21041816857135	0.0370414034845633
ENSOARG00000018879		TUBA1C	tubulin alpha 1c	1.09867736977514	0.0115804672046493
ENSOARG00000018913	101117223	RNF128	ring finger protein 128, E3 ubiquitin protein ligase	1.07609968348004	0.0178753613987099
ENSOARG00000019033				1.59039584197493	0.0196158413143617
ENSOARG00000019171	101106839	KCTD17	potassium channel tetramerization domain containing 17	-1.02306976202431	0.0263000547030406
ENSOARG00000019172	101115461	MDP1	magnesium dependent phosphatase 1	-0.978685727218601	0.0187280323449907
ENSOARG00000019206	101118837	PHLDB2	pleckstrin homology like domain family B member 2	-0.865691130698167	0.0273829225074464
ENSOARG00000019218	101103309	CYTH4	cytohesin 4	-1.51702420693313	0.000130987950867303
ENSOARG00000019416	101107011	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase	-1.26898798700221	0.00973361295068358
ENSOARG00000020018		SHANK3	SH3 and multiple ankyrin repeat domains 3	-1.33980908130058	0.0252122808501896
ENSOARG00000020020	100302357	TUBA4A	tubulin alpha 4a	0.977133747646398	0.049947262277738
ENSOARG00000020050	101110196	HCLS1	hematopoietic cell-specific Lyn substrate 1	-1.15280165167808	0.00330334914149266
ENSOARG00000020092	101111847		solute carrier family 15 member 2	2.13127982292425	0.000118368073205488
ENSOARG00000020138	101104540	NGF	nerve growth factor	3.07764885609242	0.000993779129588265
ENSOARG00000020153	101119106	DTX3L	deltex E3 ubiquitin ligase 3L	1.29658041071479	0.00795770995374711
ENSOARG00000020201	443334	MYLK	myosin light chain kinase	-1.71667980313617	0.0147455014166217
ENSOARG00000020214	101120630	KALRN	kalirin RhoGEF kinase	-1.28086129934511	0.0142388854741943
ENSOARG00000020251	101123284	RAB3IP	RAB3A interacting protein	1.03143952987314	0.0439329606314371
ENSOARG00000020255	101115351	SLC4A3	solute carrier family 4 member 3	-1.50991934134612	0.0032971481766052
ENSOARG00000020566	101117036	MAP3K13	mitogen-activated protein kinase kinase kinase 13	1.05143753271257	0.0119358349610722
ENSOARG00000020571	101119052	TTBK2	tau tubulin kinase 2	1.15962582980851	0.023106684321114
ENSOARG00000020651	101104734	PTPRO	protein tyrosine phosphatase, receptor type O	-2.00671510405957	0.0032971481766052
ENSOARG00000020817	101118436	FAM234B	family with sequence similarity 234 member B	-1.07685370902396	0.0479690819855747
ENSOARG00000020867	101119219	CGNL1	cingulin like 1	1.34062946726296	0.000262300472859691
ENSOARG00000020935	101111591	SEMA6C	semaphorin 6C	1.65443423274851	0.00708669700918335
ENSOARG00000020954	101103324	MAPK6	mitogen-activated protein kinase 6	0.936801083642241	0.0162535972196203
ENSOARG00000021197	101103160	MAP3K9	mitogen-activated protein kinase kinase kinase 9	1.30048716803112	0.000531040572553124
